Service: hwrt, mapping: similar-0
Found 293 / 302 classes
Macro score: 255 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| g                   |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| h                   |         6 |  83.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| i                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| j                   |         6 |  83.3 % |  83.3 % |  83.3 % | 100.0 % | 100.0 % |
| k                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| l                   |         6 |   0.0 % |  33.3 % |  50.0 % |  50.0 % |  50.0 % |
| m                   |         6 |  83.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| p                   |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| w                   |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| y                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| !                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| (                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| )                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| ::MULTISYMBOL::     |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| =                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| @                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Smiley             |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \pentagram          |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| t                   |         0 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
