Service: hwrt, mapping: similar-0
Found 293 / 302 classes
Macro score: 255 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \#                  |       131 |  98.5 % |  98.5 % |  98.5 % |  98.5 % |  98.5 % |
| \notin              |       131 |  98.5 % |  98.5 % |  98.5 % |  98.5 % |  98.5 % |
| \mathbb{1}          |       128 |  93.0 % |  96.1 % |  96.1 % |  96.1 % |  96.9 % |
| \delta              |       125 |  92.0 % |  94.4 % |  94.4 % |  94.4 % |  95.2 % |
| C                   |       119 |  95.8 % |  97.5 % |  97.5 % |  97.5 % |  97.5 % |
| \oint               |       119 |  95.8 % |  99.2 % |  99.2 % |  99.2 % |  99.2 % |
| \geq                |       118 |  95.8 % |  99.2 % |  99.2 % |  99.2 % |  99.2 % |
| \checked            |       117 |  97.4 % |  98.3 % |  98.3 % |  98.3 % |  98.3 % |
| \Omega              |       116 |  95.7 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \mu                 |       115 |  92.2 % |  95.7 % |  98.3 % |  98.3 % |  98.3 % |
| \{                  |       115 |  93.0 % |  97.4 % |  98.3 % |  99.1 % |  99.1 % |
| \gamma              |       114 |  90.4 % |  95.6 % |  96.5 % |  97.4 % |  97.4 % |
| \sigma              |       113 |  93.8 % |  98.2 % |  99.1 % |  99.1 % |  99.1 % |
| \mapsto             |       111 |  95.5 % |  98.2 % |  98.2 % |  98.2 % |  98.2 % |
| \cap                |       110 |  99.1 % |  99.1 % |  99.1 % |  99.1 % |  99.1 % |
| \mathbb{N}          |       109 |  95.4 % |  96.3 % |  97.2 % |  97.2 % |  97.2 % |
| \mathbb{Z}          |       109 |  91.7 % |  94.5 % |  95.4 % |  96.3 % |  96.3 % |
| \otimes             |       109 |  86.2 % |  91.7 % |  94.5 % |  95.4 % |  96.3 % |
| \chi                |       107 |  83.2 % |  87.9 % |  87.9 % |  87.9 % |  87.9 % |
| \vdash              |       107 |  95.3 % |  95.3 % |  96.3 % |  98.1 % |  98.1 % |
| \lambda             |       101 |  91.1 % |  93.1 % |  95.0 % |  95.0 % |  96.0 % |
| U                   |        99 |  96.0 % |  98.0 % |  98.0 % |  99.0 % |  99.0 % |
| \sqrt{}             |        98 |  93.9 % |  95.9 % |  95.9 % |  95.9 % |  95.9 % |
| \models             |        94 |  96.8 % |  98.9 % |  98.9 % |  98.9 % |  98.9 % |
| V                   |        93 |  95.7 % |  98.9 % |  98.9 % |  98.9 % |  98.9 % |
