Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \pi                 |       159 |  64.8 % |  93.7 % |  93.7 % |  93.7 % |  94.3 % |
| \subseteq           |       158 |  98.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \neq                |       153 |  96.7 % |  98.0 % |  99.3 % |  99.3 % |  99.3 % |
| \pm                 |       153 |  98.0 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \propto             |       153 |  78.4 % |  97.4 % |  97.4 % |  98.0 % |  98.0 % |
| \varphi             |       152 |  98.0 % |  98.7 % |  98.7 % |  99.3 % |  99.3 % |
| \&                  |       151 |  94.7 % |  96.7 % |  97.4 % |  97.4 % |  97.4 % |
| \times              |       151 |  95.4 % |  98.0 % |  98.0 % |  98.7 % |  98.7 % |
| \wedge              |       146 |  97.9 % |  98.6 % | 100.0 % | 100.0 % | 100.0 % |
| \Delta              |       144 |  90.3 % |  91.0 % |  91.7 % |  91.7 % |  91.7 % |
| \nabla              |       142 |  93.7 % |  95.8 % |  96.5 % |  96.5 % |  96.5 % |
| \exists             |       141 |  95.7 % |  97.2 % |  97.2 % |  97.9 % |  97.9 % |
| \cong               |       140 |  97.9 % |  98.6 % |  98.6 % |  98.6 % |  98.6 % |
| \oplus              |       134 |  94.0 % |  94.0 % |  94.0 % |  94.0 % |  94.0 % |
| \#                  |       131 |  98.5 % |  98.5 % |  98.5 % |  98.5 % |  98.5 % |
| \notin              |       131 |  98.5 % |  98.5 % |  98.5 % |  98.5 % |  98.5 % |
| \mathbb{1}          |       128 |  93.0 % |  95.3 % |  96.1 % |  96.1 % |  96.9 % |
| \delta              |       125 |  92.0 % |  94.4 % |  94.4 % |  94.4 % |  95.2 % |
| \Leftrightarrow     |       124 |  97.6 % |  99.2 % |  99.2 % |  99.2 % |  99.2 % |
| \oint               |       119 |  96.6 % |  99.2 % |  99.2 % |  99.2 % |  99.2 % |
| \checked            |       117 |  96.6 % |  98.3 % |  98.3 % |  98.3 % |  98.3 % |
| \Omega              |       116 |  94.0 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \mu                 |       115 |  92.2 % |  95.7 % |  98.3 % |  98.3 % |  98.3 % |
| \{                  |       115 |  93.0 % |  97.4 % |  98.3 % |  98.3 % |  99.1 % |
| \gamma              |       114 |  90.4 % |  95.6 % |  96.5 % |  97.4 % |  97.4 % |
| \beta               |       113 |  87.6 % |  95.6 % |  95.6 % |  95.6 % |  95.6 % |
| \sigma              |       113 |  93.8 % |  97.3 % |  98.2 % |  99.1 % |  99.1 % |
| \rightarrow         |       112 |  70.5 % |  90.2 % |  92.9 % |  93.8 % |  96.4 % |
| \cap                |       110 |  99.1 % |  99.1 % |  99.1 % |  99.1 % |  99.1 % |
| \mathbb{Z}          |       109 |  91.7 % |  94.5 % |  95.4 % |  96.3 % |  96.3 % |
| \otimes             |       109 |  86.2 % |  91.7 % |  94.5 % |  95.4 % |  96.3 % |
| \leq                |       107 |  67.3 % |  88.8 % |  90.7 % |  91.6 % |  92.5 % |
| \vdash              |       107 |  95.3 % |  95.3 % |  96.3 % |  97.2 % |  98.1 % |
| \mathds{N}          |       103 |  85.4 % |  92.2 % |  93.2 % |  93.2 % |  94.2 % |
| \lambda             |       101 |  91.1 % |  94.1 % |  95.0 % |  95.0 % |  95.0 % |
| U                   |        99 |  96.0 % |  97.0 % |  98.0 % |  99.0 % |  99.0 % |
| \circ               |        98 |  35.7 % |  74.5 % |  89.8 % |  92.9 % |  93.9 % |
| \sqrt{}             |        98 |  93.9 % |  95.9 % |  95.9 % |  95.9 % |  95.9 % |
| \emptyset           |        97 |  63.9 % |  81.4 % |  90.7 % |  93.8 % |  95.9 % |
| \chi                |        94 |  83.0 % |  90.4 % |  90.4 % |  90.4 % |  90.4 % |
| \models             |        94 |  96.8 % |  98.9 % |  98.9 % |  98.9 % |  98.9 % |
| [                   |        92 |  91.3 % |  95.7 % |  97.8 % |  97.8 % |  97.8 % |
| \mapsto             |        92 |  94.6 % |  96.7 % |  97.8 % |  97.8 % |  97.8 % |
| \ell                |        91 |  95.6 % |  98.9 % |  98.9 % |  98.9 % |  98.9 % |
