Service: detexify, mapping: none
Found 970 / 1077 classes
Macro-scores: 471 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \neg                      |        84 |  26.2 % |  88.1 % |  95.2 % |  97.6 % |  97.6 % |
| \gtrsim                   |        83 |  83.1 % |  95.2 % |  96.4 % |  97.6 % |  97.6 % |
| \Omega                    |        82 |  42.7 % |  68.3 % |  82.9 % |  96.3 % |  96.3 % |
| \heartsuit                |        81 |  58.0 % |  69.1 % |  74.1 % |  74.1 % |  74.1 % |
| /                         |        80 |  11.2 % |  31.2 % |  46.2 % |  53.8 % |  61.3 % |
| \mathcal{O}               |        80 |  38.8 % |  56.2 % |  61.3 % |  66.3 % |  68.8 % |
| \mathds{Z}                |        80 |  76.2 % |  83.8 % |  85.0 % |  87.5 % |  90.0 % |
| \checkmark                |        79 |  55.7 % |  84.8 % |  92.4 % |  96.2 % |  96.2 % |
| \langle                   |        78 |  43.6 % |  85.9 % |  91.0 % |  93.6 % |  93.6 % |
| \bot                      |        77 |  11.7 % |  27.3 % |  50.6 % |  66.2 % |  76.6 % |
| \therefore                |        75 |   0.0 % |   1.3 % |   1.3 % |   2.7 % |   4.0 % |
| \zeta                     |        75 |  58.7 % |  70.7 % |  74.7 % |  82.7 % |  84.0 % |
| \lesssim                  |        72 |  76.4 % |  93.1 % |  95.8 % |  97.2 % |  97.2 % |
| \mathcal{L}               |        72 |  56.9 % |  72.2 % |  84.7 % |  91.7 % |  93.1 % |
| \subset                   |        71 |  91.5 % |  98.6 % |  98.6 % |  98.6 % |  98.6 % |
| [                         |        70 |  88.6 % |  95.7 % |  97.1 % |  97.1 % |  97.1 % |
| \varepsilon               |        70 |  17.1 % |  30.0 % |  55.7 % |  74.3 % |  82.9 % |
| \gg                       |        69 |  56.5 % |  94.2 % | 100.0 % | 100.0 % | 100.0 % |
| \eta                      |        67 |  38.8 % |  76.1 % |  86.6 % |  89.6 % |  92.5 % |
| \vee                      |        67 |  52.2 % |  79.1 % |  94.0 % |  97.0 % |  97.0 % |
| \Pi                       |        65 |   7.7 % |  30.8 % |  53.8 % |  61.5 % |  66.2 % |
| \%                        |        64 |  56.2 % |  64.1 % |  71.9 % |  75.0 % |  76.6 % |
| \Heart                    |        64 |  43.8 % |  68.8 % |  73.4 % |  78.1 % |  81.2 % |
| \rho                      |        64 |  60.9 % |  71.9 % |  87.5 % |  90.6 % |  92.2 % |
| \lambda                   |        63 |  19.0 % |  27.0 % |  39.7 % |  46.0 % |  58.7 % |
| \Phi                      |        61 |  29.5 % |  60.7 % |  60.7 % |  67.2 % |  72.1 % |
| \textgreater              |        61 |  49.2 % |  75.4 % |  85.2 % |  91.8 % |  98.4 % |
| !`                        |        59 |  13.6 % |  20.3 % |  27.1 % |  30.5 % |  50.8 % |
| \textless                 |        59 |  42.4 % |  74.6 % |  94.9 % |  98.3 % |  98.3 % |
| \Gamma                    |        57 |  52.6 % |  78.9 % |  87.7 % |  89.5 % |  89.5 % |
| \hookrightarrow           |        57 |  75.4 % |  86.0 % |  86.0 % |  91.2 % |  91.2 % |
| \omega                    |        57 |  47.4 % |  75.4 % |  94.7 % |  96.5 % |  96.5 % |
| \phi                      |        57 |  19.3 % |  31.6 % |  49.1 % |  64.9 % |  73.7 % |
| \aleph                    |        56 |  41.1 % |  50.0 % |  60.7 % |  67.9 % |  71.4 % |
| \lfloor                   |        55 |  89.1 % |  92.7 % |  96.4 % |  96.4 % |  98.2 % |
| \psi                      |        55 |  43.6 % |  60.0 % |  72.7 % |  92.7 % |  98.2 % |
| \degree                   |        54 |  11.1 % |  20.4 % |  25.9 % |  44.4 % |  53.7 % |
| \uppi                     |        53 |  26.4 % |  45.3 % |  54.7 % |  67.9 % |  75.5 % |
| \varnothing               |        52 |  17.3 % |  34.6 % |  48.1 % |  55.8 % |  63.5 % |
| \blacksquare              |        51 |  23.5 % |  49.0 % |  60.8 % |  68.6 % |  74.5 % |
| \llbracket                |        51 |  56.9 % |  94.1 % |  94.1 % |  94.1 % |  94.1 % |
| \triangleq                |        49 |  95.9 % |  98.0 % |  98.0 % |  98.0 % | 100.0 % |
| \nu                       |        47 |  34.0 % |  55.3 % |  66.0 % |  74.5 % |  85.1 % |
| \textbraceleft            |        47 |  42.6 % |  78.7 % |  85.1 % |  87.2 % |  89.4 % |
| \upalpha                  |        46 |  30.4 % |  60.9 % |  78.3 % |  91.3 % |  97.8 % |
| \Bat                      |        45 |  26.7 % |  35.6 % |  42.2 % |  51.1 % |  53.3 % |
| \bigstar                  |        45 |  42.2 % |  68.9 % |  71.1 % |  71.1 % |  73.3 % |
| \leftrightarrow           |        45 |  37.8 % |  66.7 % |  71.1 % |  73.3 % |  75.6 % |
| \setminus                 |        45 |  17.8 % |  42.2 % |  53.3 % |  84.4 % |  91.1 % |
| \upvarphi                 |        45 |  42.2 % |  97.8 % |  97.8 % | 100.0 % | 100.0 % |
| \prec                     |        44 |  81.8 % |  88.6 % |  88.6 % |  93.2 % |  97.7 % |
| \hbar                     |        43 |  53.5 % |  93.0 % |  95.3 % |  97.7 % |  97.7 % |
| \mathcal{P}               |        43 |  51.2 % |  65.1 % |  67.4 % |  74.4 % |  79.1 % |
| \textregistered           |        42 |  64.3 % |  90.5 % |  90.5 % |  90.5 % |  90.5 % |
| \bigcup                   |        41 |  46.3 % |  80.5 % |  87.8 % |  92.7 % |  97.6 % |
| \not\equiv                |        41 |  92.7 % |  92.7 % |  97.6 % |  97.6 % |  97.6 % |
| \lightning                |        40 |  57.5 % |  85.0 % |  87.5 % |  90.0 % |  92.5 % |
| \|                        |        40 |   7.5 % |  30.0 % |  45.0 % |  65.0 % |  87.5 % |
| \AA                       |        39 |  51.3 % |  87.2 % |  89.7 % |  92.3 % |  92.3 % |
| \leqslant                 |        39 |  79.5 % |  94.9 % |  94.9 % |  97.4 % |  97.4 % |
| \texttimes                |        39 |  23.1 % |  51.3 % |  69.2 % |  71.8 % |  71.8 % |
| \lceil                    |        38 |  76.3 % |  81.6 % |  92.1 % |  94.7 % |  94.7 % |
| \ni                       |        38 |  63.2 % |  89.5 % |  94.7 % |  94.7 % | 100.0 % |
| \top                      |        38 |  15.8 % |  34.2 % |  57.9 % |  65.8 % |  71.1 % |
| \twoheadrightarrow        |        38 |  92.1 % |  92.1 % |  94.7 % |  94.7 % |  94.7 % |
| \Xi                       |        37 |  40.5 % |  81.1 % | 100.0 % | 100.0 % | 100.0 % |
| \leadsto                  |        37 |  59.5 % |  75.7 % |  83.8 % |  86.5 % |  91.9 % |
| \mathcal{A}               |        37 |  67.6 % |  78.4 % |  89.2 % |  91.9 % |  97.3 % |
| \models                   |        37 |   0.0 % |   5.4 % |  40.5 % |  56.8 % |  83.8 % |
| \textasciitilde           |        37 |  21.6 % |  54.1 % |  75.7 % |  94.6 % |  97.3 % |
| \textepsilon              |        37 |  24.3 % |  48.6 % |  70.3 % |  81.1 % |  89.2 % |
