Service: hwrt, mapping: none
Number of symbols: 368
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \geq                |        87 |  83.9 % |  96.6 % |  97.7 % |  97.7 % |  97.7 % |
| \vee                |        87 |  95.4 % |  97.7 % |  97.7 % |  97.7 % |  98.9 % |
| \mathcal{O}         |        87 |  69.0 % |  82.8 % |  93.1 % |  94.3 % |  94.3 % |
| \neg                |        85 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Omega              |        83 |  75.9 % |  98.8 % | 100.0 % | 100.0 % | 100.0 % |
| \Pi                 |        81 |  19.8 % |  81.5 % |  91.4 % |  91.4 % |  91.4 % |
| \mathscr{L}         |        81 |  87.7 % |  92.6 % |  95.1 % |  96.3 % |  96.3 % |
| \subset             |        79 |  92.4 % |  94.9 % |  98.7 % |  98.7 % |  98.7 % |
| \lesssim            |        78 |  92.3 % |  92.3 % |  93.6 % |  94.9 % |  96.2 % |
| \llbracket          |        78 |  97.4 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \therefore          |        77 |  96.1 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \langle             |        77 |  94.8 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \aleph              |        77 |  87.0 % |  89.6 % |  92.2 % |  92.2 % |  92.2 % |
| \cdot               |        76 |  84.2 % |  89.5 % |  89.5 % |  90.8 % |  92.1 % |
| \AA                 |        76 |  96.1 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \mathcal{L}         |        75 |  69.3 % |  84.0 % |  89.3 % |  89.3 % |  89.3 % |
| \varepsilon         |        74 |  77.0 % |  94.6 % |  97.3 % |  97.3 % |  97.3 % |
| \bot                |        74 |  71.6 % |  97.3 % |  98.6 % |  98.6 % |  98.6 % |
| \eta                |        69 |  94.2 % |  95.7 % |  95.7 % |  97.1 % |  97.1 % |
| \rho                |        69 |  87.0 % |  92.8 % |  94.2 % |  94.2 % |  94.2 % |
| \phi                |        69 |  60.9 % |  81.2 % |  88.4 % |  92.8 % |  95.7 % |
| \degree             |        68 |  45.6 % |  82.4 % |  91.2 % |  92.6 % |  92.6 % |
| \hookrightarrow     |        67 |  95.5 % |  95.5 % |  97.0 % |  98.5 % |  98.5 % |
| \theta              |        66 |  69.7 % |  84.8 % |  90.9 % |  92.4 % |  92.4 % |
| \gtrsim             |        64 |  96.9 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \Gamma              |        63 |  84.1 % |  95.2 % |  95.2 % |  95.2 % |  96.8 % |
| \omega              |        63 |  95.2 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \leadsto            |        63 |  88.9 % |  95.2 % |  98.4 % |  98.4 % |  98.4 % |
| \Phi                |        62 |  82.3 % |  87.1 % |  90.3 % |  91.9 % |  91.9 % |
| \triangleq          |        58 |  87.9 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \psi                |        57 |  50.9 % |  96.5 % |  96.5 % |  98.2 % |  98.2 % |
| \ast                |        56 |  91.1 % |  94.6 % |  94.6 % |  96.4 % |  96.4 % |
| \lightning          |        56 |  87.5 % |  89.3 % |  89.3 % |  89.3 % |  91.1 % |
| \epsilon            |        55 |   0.0 % |  32.7 % |  56.4 % |  60.0 % |  63.6 % |
| /                   |        54 |  90.7 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \prec               |        53 |  90.6 % |  94.3 % |  96.2 % |  96.2 % |  96.2 % |
| \hbar               |        53 |  98.1 % |  98.1 % |  98.1 % |  98.1 % |  98.1 % |
| \setminus           |        52 |  73.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| |                   |        52 |  94.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \odot               |        51 |  51.0 % |  88.2 % |  94.1 % |  96.1 % |  96.1 % |
| \leftrightarrow     |        51 |  92.2 % |  98.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ni                 |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \blacksquare        |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \models             |        48 |  33.3 % |  97.9 % | 100.0 % | 100.0 % | 100.0 % |
| \Theta              |        47 |  76.6 % |  87.2 % |  91.5 % |  91.5 % |  91.5 % |
| \varnothing         |        47 |  23.4 % |  63.8 % |  83.0 % |  91.5 % |  93.6 % |
| \Psi                |        46 |  71.7 % |  93.5 % |  93.5 % |  93.5 % |  93.5 % |
| \vDash              |        46 |  71.7 % |  89.1 % |  93.5 % |  93.5 % |  93.5 % |
| \Lambda             |        45 |  42.2 % |  75.6 % |  80.0 % |  80.0 % |  80.0 % |
| \tau                |        44 |  65.9 % |  86.4 % |  90.9 % |  93.2 % |  93.2 % |
| \lfloor             |        43 |  93.0 % |  95.3 % |  97.7 % |  97.7 % | 100.0 % |
| \twoheadrightarrow  |        42 |  88.1 % |  90.5 % |  92.9 % |  95.2 % |  95.2 % |
| \mathds{C}          |        42 |  95.2 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \Xi                 |        41 |  87.8 % |  95.1 % |  95.1 % |  95.1 % |  95.1 % |
| \supset             |        41 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteq           |        41 |  92.7 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \leqslant           |        41 |  82.9 % |  95.1 % |  97.6 % |  97.6 % |  97.6 % |
| \vdots              |        41 |  97.6 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \$                  |        40 |  95.0 % |  97.5 % |  97.5 % |  97.5 % |  97.5 % |
| \ddots              |        40 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{F}         |        40 |  85.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \male               |        40 |  72.5 % |  87.5 % |  90.0 % |  92.5 % |  95.0 % |
| \nu                 |        39 |  79.5 % |  87.2 % |  89.7 % |  89.7 % |  89.7 % |
| \not\equiv          |        39 |  92.3 % |  92.3 % |  92.3 % |  94.9 % |  94.9 % |
| \|                  |        38 |  86.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succ               |        37 |  86.5 % |  89.2 % |  89.2 % |  89.2 % |  89.2 % |
| \parallel           |        37 |  35.1 % |  91.9 % |  91.9 % |  91.9 % |  91.9 % |
| \lceil              |        37 |  91.9 % |  94.6 % |  94.6 % |  94.6 % |  94.6 % |
| \mathcal{A}         |        37 |  62.2 % |  91.9 % |  94.6 % |  94.6 % |  97.3 % |
| \mathcal{P}         |        37 |  81.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nmid               |        36 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \wp                 |        36 |  80.6 % |  94.4 % |  94.4 % |  97.2 % |  97.2 % |
| \S                  |        35 |  77.1 % |  88.6 % |  91.4 % |  91.4 % |  91.4 % |
| \bullet             |        35 |  54.3 % |  82.9 % |  85.7 % |  85.7 % |  88.6 % |
| \div                |        34 |  91.2 % |  91.2 % |  94.1 % |  94.1 % |  97.1 % |
| \mid                |        34 |   2.9 % |  91.2 % |  97.1 % |  97.1 % |  97.1 % |
| \top                |        34 |  82.4 % |  85.3 % |  88.2 % |  88.2 % |  88.2 % |
| \}                  |        33 |  93.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{N}         |        33 |  87.9 % |  90.9 % |  97.0 % |  97.0 % |  97.0 % |
| \celsius            |        33 |  93.9 % |  97.0 % |  97.0 % |  97.0 % |  97.0 % |
| \ohm                |        33 |  30.3 % |  87.9 % |  90.9 % |  90.9 % |  90.9 % |
| \oiint              |        32 |  90.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nexists            |        32 |  93.8 % |  96.9 % |  96.9 % |  96.9 % |  96.9 % |
