Service: detexify, mapping: similar-0
Found 820 / 926 classes
Macro score: 376 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \mathbb{N}                |        90 |  70.0 % |  85.6 % |  90.0 % |  92.2 % |  93.3 % |
| |                         |        88 |  72.7 % |  92.0 % |  98.9 % | 100.0 % | 100.0 % |
| \backslash                |        87 |  75.9 % |  87.4 % |  98.9 % | 100.0 % | 100.0 % |
| \mathscr{L}               |        85 |  56.5 % |  81.2 % |  88.2 % |  91.8 % |  95.3 % |
| \neg                      |        84 |  26.2 % |  88.1 % |  95.2 % |  98.8 % | 100.0 % |
| V                         |        83 |  74.7 % |  97.6 % | 100.0 % | 100.0 % | 100.0 % |
| \gtrsim                   |        83 |  83.1 % |  95.2 % |  96.4 % |  97.6 % |  97.6 % |
| \rho                      |        83 |  55.4 % |  72.3 % |  88.0 % |  94.0 % |  95.2 % |
| \heartsuit                |        81 |  58.0 % |  69.1 % |  74.1 % |  74.1 % |  76.5 % |
| \lambda                   |        81 |  35.8 % |  53.1 % |  69.1 % |  72.8 % |  77.8 % |
| \mathbb{Z}                |        80 |  76.2 % |  83.8 % |  87.5 % |  88.8 % |  90.0 % |
| \langle                   |        78 |  43.6 % |  85.9 % |  91.0 % |  93.6 % |  93.6 % |
| \omega                    |        75 |  78.7 % |  96.0 % |  96.0 % |  97.3 % |  98.7 % |
| \therefore                |        75 |   0.0 % |   1.3 % |   1.3 % |   2.7 % |   4.0 % |
| \zeta                     |        75 |  58.7 % |  70.7 % |  76.0 % |  84.0 % |  85.3 % |
| \lesssim                  |        72 |  76.4 % |  93.1 % |  95.8 % |  97.2 % |  97.2 % |
| \mathcal{L}               |        72 |  56.9 % |  72.2 % |  86.1 % |  91.7 % |  94.4 % |
| [                         |        70 |  88.6 % |  95.7 % |  97.1 % |  97.1 % |  98.6 % |
| \gg                       |        69 |  56.5 % |  94.2 % | 100.0 % | 100.0 % | 100.0 % |
| \|                        |        69 |  29.0 % |  66.7 % |  87.0 % |  92.8 % |  98.6 % |
| \eta                      |        67 |  38.8 % |  76.1 % |  86.6 % |  89.6 % |  92.5 % |
| \models                   |        66 |  15.2 % |  39.4 % |  80.3 % |  93.9 % |  97.0 % |
| \%                        |        64 |  56.2 % |  67.2 % |  71.9 % |  75.0 % |  76.6 % |
| \Heart                    |        64 |  43.8 % |  68.8 % |  73.4 % |  79.7 % |  81.2 % |
| \star                     |        63 |  66.7 % |  74.6 % |  74.6 % |  77.8 % |  81.0 % |
| i                         |        63 |  28.6 % |  49.2 % |  55.6 % |  57.1 % |  58.7 % |
| -                         |        62 |  79.0 % |  91.9 % |  95.2 % |  98.4 % | 100.0 % |
| >                         |        61 |  49.2 % |  75.4 % |  85.2 % |  91.8 % |  98.4 % |
| \Phi                      |        61 |  29.5 % |  60.7 % |  60.7 % |  67.2 % |  77.0 % |
| \coprod                   |        60 |  78.3 % |  88.3 % |  93.3 % |  98.3 % |  98.3 % |
| <                         |        59 |  42.4 % |  74.6 % |  94.9 % |  98.3 % |  98.3 % |
| \Gamma                    |        57 |  52.6 % |  78.9 % |  87.7 % |  89.5 % |  89.5 % |
| \hookrightarrow           |        57 |  75.4 % |  86.0 % |  89.5 % |  91.2 % |  93.0 % |
| \leadsto                  |        57 |  77.2 % |  86.0 % |  89.5 % |  94.7 % |  94.7 % |
| \aleph                    |        56 |  41.1 % |  50.0 % |  60.7 % |  67.9 % |  75.0 % |
| \leftrightarrow           |        56 |  62.5 % |  83.9 % |  85.7 % |  85.7 % |  89.3 % |
| \dagger                   |        55 |  29.1 % |  60.0 % |  78.2 % |  94.5 % |  98.2 % |
| \lfloor                   |        55 |  89.1 % |  92.7 % |  96.4 % |  96.4 % |  98.2 % |
| \nu                       |        55 |  50.9 % |  72.7 % |  81.8 % |  89.1 % |  92.7 % |
| \psi                      |        55 |  43.6 % |  60.0 % |  72.7 % |  94.5 % |  98.2 % |
| \odot                     |        54 |  37.0 % |  55.6 % |  66.7 % |  74.1 % |  79.6 % |
| \circledR                 |        52 |  88.5 % |  90.4 % |  90.4 % |  90.4 % |  90.4 % |
| \blacksquare              |        51 |  23.5 % |  49.0 % |  60.8 % |  68.6 % |  74.5 % |
| \copyright                |        51 |  86.3 % |  96.1 % |  96.1 % |  96.1 % |  98.0 % |
| \diamond                  |        51 |  70.6 % |  90.2 % |  92.2 % |  96.1 % |  98.0 % |
| \llbracket                |        51 |  56.9 % |  94.1 % |  94.1 % |  94.1 % |  94.1 % |
| \EUR                      |        50 |  76.0 % |  96.0 % | 100.0 % | 100.0 % | 100.0 % |
| \hbar                     |        50 |  64.0 % |  96.0 % |  96.0 % |  98.0 % |  98.0 % |
| \$                        |        49 |  79.6 % |  95.9 % |  98.0 % |  98.0 % |  98.0 % |
