Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \%                        |        84 |  61.9 % |  71.4 % |  77.4 % |  78.6 % |  81.0 % |
| \smiley                   |        83 |  28.9 % |  50.6 % |  61.4 % |  62.7 % |  66.3 % |
| [                         |        83 |  80.7 % |  88.0 % |  95.2 % |  95.2 % |  96.4 % |
| \textgreater              |        82 |  43.9 % |  73.2 % |  79.3 % |  87.8 % |  93.9 % |
| \mathds{Z}                |        79 |  79.7 % |  83.5 % |  88.6 % |  91.1 % |  92.4 % |
| \langle                   |        79 |  46.8 % |  82.3 % |  91.1 % |  93.7 % |  94.9 % |
| \Omega                    |        78 |  41.0 % |  75.6 % |  88.5 % |  97.4 % |  97.4 % |
| \mathscr{L}               |        78 |  59.0 % |  76.9 % |  84.6 % |  88.5 % |  91.0 % |
| \degree                   |        76 |  10.5 % |  19.7 % |  30.3 % |  36.8 % |  48.7 % |
| \subset                   |        74 |  85.1 % |  89.2 % |  95.9 % |  97.3 % |  98.6 % |
| \Pi                       |        74 |  16.2 % |  35.1 % |  43.2 % |  52.7 % |  64.9 % |
| \gtrsim                   |        73 |  89.0 % |  98.6 % |  98.6 % |  98.6 % |  98.6 % |
| \eta                      |        72 |  34.7 % |  66.7 % |  76.4 % |  84.7 % |  90.3 % |
| \rho                      |        72 |  44.4 % |  70.8 % |  80.6 % |  88.9 % |  94.4 % |
| \varepsilon               |        72 |  26.4 % |  47.2 % |  65.3 % |  80.6 % |  93.1 % |
| \zeta                     |        72 |  52.8 % |  63.9 % |  68.1 % |  73.6 % |  75.0 % |
| \mapsto                   |        72 |  51.4 % |  87.5 % |  94.4 % |  94.4 % |  94.4 % |
| /                         |        71 |   9.9 % |  29.6 % |  42.3 % |  47.9 % |  57.7 % |
| \neg                      |        70 |  22.9 % |  81.4 % | 100.0 % | 100.0 % | 100.0 % |
| \textless                 |        70 |  48.6 % |  70.0 % |  81.4 % |  97.1 % |  98.6 % |
| \Heart                    |        69 |  24.6 % |  53.6 % |  63.8 % |  65.2 % |  66.7 % |
| \hookrightarrow           |        69 |  66.7 % |  79.7 % |  81.2 % |  85.5 % |  85.5 % |
| \vee                      |        69 |  44.9 % |  72.5 % |  92.8 % |  94.2 % |  97.1 % |
| \chi                      |        68 |  52.9 % |  72.1 % |  79.4 % |  89.7 % |  92.6 % |
| \mathcal{L}               |        67 |  61.2 % |  76.1 % |  86.6 % |  89.6 % |  91.0 % |
| \lightning                |        66 |  54.5 % |  83.3 % |  87.9 % |  89.4 % |  90.9 % |
| \therefore                |        66 |   0.0 % |   0.0 % |   0.0 % |   1.5 % |   1.5 % |
| \mathcal{O}               |        65 |  36.9 % |  44.6 % |  61.5 % |  66.2 % |  72.3 % |
| \phi                      |        61 |  19.7 % |  37.7 % |  50.8 % |  57.4 % |  65.6 % |
| \gg                       |        61 |  49.2 % |  86.9 % |  98.4 % |  98.4 % |  98.4 % |
| \omega                    |        59 |  57.6 % |  78.0 % |  91.5 % |  94.9 % |  94.9 % |
| \upalpha                  |        58 |  22.4 % |  56.9 % |  72.4 % |  84.5 % |  87.9 % |
| \llbracket                |        57 |  54.4 % |  86.0 % |  89.5 % |  89.5 % |  89.5 % |
| \leftrightarrow           |        55 |  50.9 % |  67.3 % |  78.2 % |  80.0 % |  80.0 % |
| \`                        |        55 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \bot                      |        54 |  11.1 % |  31.5 % |  53.7 % |  75.9 % |  79.6 % |
| \Gamma                    |        53 |  50.9 % |  83.0 % |  90.6 % |  96.2 % |  98.1 % |
| \varnothing               |        52 |  11.5 % |  26.9 % |  30.8 % |  44.2 % |  53.8 % |
| \psi                      |        52 |  36.5 % |  63.5 % |  75.0 % |  90.4 % |  92.3 % |
| \bigstar                  |        52 |  38.5 % |  71.2 % |  75.0 % |  76.9 % |  78.8 % |
| \Phi                      |        52 |  30.8 % |  65.4 % |  65.4 % |  69.2 % |  71.2 % |
| \textbraceleft            |        51 |  52.9 % |  84.3 % |  94.1 % |  94.1 % |  96.1 % |
| \aleph                    |        50 |  34.0 % |  40.0 % |  54.0 % |  58.0 % |  64.0 % |
| \textasciitilde           |        50 |  34.0 % |  62.0 % |  80.0 % |  96.0 % |  98.0 % |
