Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \rightrightarrows         |        18 |  61.1 % |  61.1 % |  61.1 % |  66.7 % |  66.7 % |
| \textcopyright            |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpropto                |        17 |  52.9 % |  82.4 % |  88.2 % |  94.1 % |  94.1 % |
| \because                  |        17 |  11.8 % |  11.8 % |  11.8 % |  11.8 % |  17.6 % |
| \Cross                    |        17 |  17.6 % |  35.3 % |  41.2 % |  41.2 % |  70.6 % |
| \nearrow                  |        17 |  58.8 % |  82.4 % |  88.2 % |  88.2 % |  88.2 % |
| \upvarsigma               |        17 |  88.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquestiondown         |        17 |  58.8 % |  64.7 % |  76.5 % |  76.5 % |  76.5 % |
| \Leftarrow                |        17 |  76.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |        17 |  70.6 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \Uptheta                  |        17 |  76.5 % |  82.4 % |  82.4 % |  88.2 % | 100.0 % |
| \upzeta                   |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \astrosun                 |        17 |  11.8 % |  11.8 % |  41.2 % |  52.9 % |  58.8 % |
| \kappa                    |        17 |  11.8 % |  41.2 % |  41.2 % |  70.6 % |  70.6 % |
| \sqcap                    |        16 |  81.2 % |  81.2 % | 100.0 % | 100.0 % | 100.0 % |
| \dh                       |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftharpoons        |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textinterrobang          |        16 |  81.2 % |  81.2 % |  87.5 % |  87.5 % | 100.0 % |
| \mars                     |        16 |  62.5 % |  75.0 % |  87.5 % |  87.5 % |  87.5 % |
| \prime                    |        16 |  50.0 % |  75.0 % |  75.0 % |  81.2 % |  81.2 % |
| \O                        |        16 |  31.2 % |  50.0 % |  56.2 % |  75.0 % |  81.2 % |
| \thicksim                 |        16 |  31.2 % |  37.5 % |  62.5 % |  87.5 % | 100.0 % |
| \textdagger               |        16 |  75.0 % |  81.2 % |  81.2 % |  81.2 % |  81.2 % |
| \Mundus                   |        16 |   0.0 % |  12.5 % |  12.5 % |  18.8 % |  25.0 % |
| \dotsb                    |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{S}               |        16 |  75.0 % |  93.8 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft          |        16 |  62.5 % |  68.8 % |  68.8 % |  68.8 % |  68.8 % |
| \mathcal{D}               |        15 |  46.7 % |  46.7 % |  60.0 % |  66.7 % |  73.3 % |
| \upnu                     |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \flat                     |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigsqcup                 |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbullet               |        15 |  26.7 % |  33.3 % |  40.0 % |  40.0 % |  40.0 % |
| \uplus                    |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdollar               |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleright            |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrightarrow           |        15 |  33.3 % |  60.0 % |  73.3 % |  86.7 % |  93.3 % |
| \thickapprox              |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % | 100.0 % |
| \mathsection              |        15 |   6.7 % |  26.7 % |  40.0 % |  60.0 % |  66.7 % |
| \backsim                  |        15 |  66.7 % |  66.7 % |  73.3 % |  80.0 % | 100.0 % |
| \dagger                   |        15 |  40.0 % |  53.3 % |  60.0 % |  60.0 % |  66.7 % |
| \guillemotleft            |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Z}               |        15 |  93.3 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \Longleftrightarrow       |        15 |  20.0 % |  66.7 % |  73.3 % |  80.0 % |  86.7 % |
| \Telefon                  |        15 |  60.0 % |  73.3 % |  73.3 % |  86.7 % |  93.3 % |
| \mp                       |        15 |  80.0 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \mathcal{T}               |        15 |  53.3 % |  66.7 % |  73.3 % |  73.3 % |  80.0 % |
| \mathcal{X}               |        14 |  92.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \--                       |        14 |  50.0 % |  57.1 % |  78.6 % |  78.6 % |  85.7 % |
| \Upsilon                  |        14 |  50.0 % |  50.0 % |  50.0 % |  64.3 % |  78.6 % |
| \mathcal{C}               |        14 |  64.3 % |  78.6 % |  92.9 % |  92.9 % | 100.0 % |
| \varkappa                 |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \coprod                   |        14 |  21.4 % |  28.6 % |  57.1 % |  57.1 % |  78.6 % |
| \textopenbullet           |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rrbracket                |        14 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \downarrow                |        14 |  64.3 % |  71.4 % |  92.9 % | 100.0 % | 100.0 % |
| \varrho                   |        14 |  50.0 % |  57.1 % |  64.3 % |  64.3 % |  71.4 % |
| \sun                      |        14 |  85.7 % |  85.7 % |  85.7 % |  92.9 % | 100.0 % |
| \sharp                    |        14 |  71.4 % |  78.6 % |  78.6 % |  92.9 % |  92.9 % |
| \iint                     |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Denarius                 |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \CircledA                 |        13 |  84.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nvDash                   |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}               |        13 |  53.8 % |  69.2 % |  76.9 % |  76.9 % |  76.9 % |
| \textquotedblleft         |        13 |  46.2 % |  76.9 % |  84.6 % |  92.3 % | 100.0 % |
| \---                      |        13 |  69.2 % |  92.3 % |  92.3 % | 100.0 % | 100.0 % |
| \nsubseteq                |        13 |  46.2 % |  61.5 % |  84.6 % |  84.6 % |  92.3 % |
| \mathds{B}                |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURdig                   |        13 |  69.2 % |  84.6 % |  92.3 % |  92.3 % |  92.3 % |
| \gtrless                  |        13 |  30.8 % |  46.2 % |  69.2 % |  76.9 % |  84.6 % |
| \Upgamma                  |        12 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  75.0 % |
| \bigvee                   |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \dashv                    |        12 |  16.7 % |  75.0 % |  83.3 % |  83.3 % |  83.3 % |
| \leftarrow                |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{B}               |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \textquotedbl             |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiv                  |        12 |  91.7 % |  91.7 % |  91.7 % | 100.0 % | 100.0 % |
| \ocircle                  |        12 |  25.0 % |  50.0 % |  50.0 % |  75.0 % |  75.0 % |
| \mathcal{U}               |        12 |  91.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftmoon                 |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{A}              |        12 |  41.7 % |  58.3 % |  58.3 % |  66.7 % |  66.7 % |
| \Updelta                  |        12 |  75.0 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \upgamma                  |        12 |  25.0 % |  41.7 % |  66.7 % |  66.7 % |  83.3 % |
| \diamondsuit              |        12 |  91.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textmusicalnote          |        12 |  75.0 % |  75.0 % |  83.3 % |  83.3 % |  91.7 % |
| \mathcal{I}               |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \curvearrowright          |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \triangleleft             |        12 |  25.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iota                     |        12 |  91.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \trianglelefteq           |        12 |  91.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlnot                 |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textpipe                 |        11 |  81.8 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \nRightarrow              |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ngtr                     |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fullmoon                 |        11 |  36.4 % |  45.5 % |  54.5 % |  81.8 % |  81.8 % |
| \mathcal{R}               |        11 |  63.6 % |  72.7 % |  72.7 % |  81.8 % |  81.8 % |
| \mathcal{J}               |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsubsetneq             |        11 |  18.2 % |  45.5 % |  63.6 % |  81.8 % | 100.0 % |
| \textbar                  |        11 |  63.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{I}                |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigodot                  |        11 |   9.1 % |  18.2 % |  27.3 % |  36.4 % |  36.4 % |
| \blacktriangleright       |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upharpoonright           |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ominus                   |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{S}              |        11 |  45.5 % |  54.5 % |  63.6 % |  63.6 % |  72.7 % |
| \dj                       |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circledR                 |        11 |   9.1 % |  36.4 % |  54.5 % |  63.6 % |  63.6 % |
| \textendash               |        11 |  72.7 % |  72.7 % |  81.8 % | 100.0 % | 100.0 % |
| \rightarrowtail           |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \----                     |        11 |  27.3 % |  45.5 % |  63.6 % |  72.7 % |  81.8 % |
| \textscripta              |        11 |  54.5 % |  72.7 % | 100.0 % | 100.0 % | 100.0 % |
| \rfloor                   |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uprho                    |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clock                    |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftarrows          |        11 |  81.8 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \upomega                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diameter                 |        10 |  20.0 % |  40.0 % |  40.0 % |  70.0 % |  70.0 % |
| \biguplus                 |        10 |  70.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mho                      |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frown                    |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotestraightdblbase |        10 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Emailct                  |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvartheta               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Subset                   |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{M}               |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Q}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{P}                |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlbrackdbl            |        10 |  40.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \surd                     |        10 |  30.0 % |  40.0 % |  80.0 % |  90.0 % | 100.0 % |
| \diagup                   |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \mathds{E}                |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \mapsfrom                 |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \phone                    |        10 |  30.0 % |  50.0 % |  50.0 % |  50.0 % |  60.0 % |
| \dots                     |        10 |  60.0 % |  70.0 % |  70.0 % |  70.0 % |  70.0 % |
| \mathscr{E}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nsupseteq                |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textupsilon              |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rbag                     |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circledast               |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbigcircle            |         9 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \dashrightarrow           |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upharpoonleft            |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds                   |         9 |  33.3 % |  44.4 % |  55.6 % |  55.6 % |  77.8 % |
| \th                       |         9 |  77.8 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \upvarrho                 |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diagdown                 |         9 |  77.8 % |  88.9 % |  88.9 % | 100.0 % | 100.0 % |
| \textschwa                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{N}               |         9 |  88.9 % |  88.9 % | 100.0 % | 100.0 % | 100.0 % |
| \imath                    |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURtm                    |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upepsilon                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \parr                     |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{X}              |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttheta                |         9 |  55.6 % |  77.8 % | 100.0 % | 100.0 % | 100.0 % |
| \uppsi                    |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartriangle              |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lhd                      |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscomega              |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscb                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrevepsilon           |         8 |  62.5 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \male                     |         8 |   0.0 % |   0.0 % |  12.5 % |  25.0 % |  50.0 % |
| \mathcal{G}               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AE                       |         8 |  87.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \blacksmiley              |         8 |   0.0 % |   0.0 % |   0.0 % |  12.5 % |  25.0 % |
| \backprime                |         8 |  75.0 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \textperthousand          |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcopyleft             |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsterling             |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopencorner           |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textphi                  |         8 |  87.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \libra                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \unlhd                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowright         |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nshortmid                |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wr                       |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{D}               |         8 |  50.0 % |  62.5 % |  75.0 % |  87.5 % |  87.5 % |
| \dotsint                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \multimap                 |         8 |  62.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \textcorner               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsubset                 |         8 |  87.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \supsetneq                |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyogh                 |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Aquarius                 |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rhd                      |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Shilling                 |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsilon                  |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{R}              |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptheta                  |         8 |  75.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotedblright        |         8 |  87.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \amalg                    |         8 |   0.0 % |  25.0 % |  50.0 % |  87.5 % |  87.5 % |
| \mathcal{V}               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrbrackdbl            |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \smallsmile               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cancer                   |         8 |  87.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \Re                       |         8 |  37.5 % |  37.5 % |  50.0 % |  75.0 % |  87.5 % |
| \mathcal{K}               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \colon                    |         8 |  25.0 % |  25.0 % |  25.0 % |  25.0 % |  25.0 % |
| \textscl                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Updownarrow              |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Vdash                    |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Im                       |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % | 100.0 % |
| \mathscr{I}               |         7 |  85.7 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textscn                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Venus                    |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \L                        |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \l                        |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textonesuperior          |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textctyogh               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pitchfork                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ng                       |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textfractionsolidus      |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upxi                     |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \searrow                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{B}               |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bell                     |         7 |  57.1 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \guillemotright           |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangledown          |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ddag                     |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrtailn               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopeno                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \measuredangle            |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \invdiameter              |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangleup            |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcrh                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ldots                    |         7 |  57.1 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \earth                    |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nvdash                   |         7 |  85.7 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textsch                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \llparenthesis            |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxplus                  |         7 |  57.1 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \lessgtr                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \veebar                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdblhyphen            |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Email                    |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textgamma                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortmid                 |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backsimeq                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Libra                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{M}              |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Ecommerce                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrhookschwa           |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textg                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{X}               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacklozenge             |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotsi                    |         6 |  33.3 % |  33.3 % | 100.0 % | 100.0 % | 100.0 % |
| \scorpio                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textflorin               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot                   |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  83.3 % |
| \upkappa                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{H}                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsce                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyen                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \smile                    |         6 |  83.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \preccurlyeq              |         6 |  83.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \leqq                     |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscr                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \MVRightarrow             |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textglotstop             |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortparallel            |         6 |  83.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \upeta                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textreferencemark        |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textellipsis             |         6 |  16.7 % |  33.3 % |  33.3 % |  50.0 % |  50.0 % |
| \Scorpio                  |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \approxeq                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mobilefone               |         6 |  33.3 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \Aries                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{R}               |         6 |  83.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \vartriangleleft          |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \swarrow                  |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_approx               |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \between                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nless                    |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Celtcross                |         6 |  83.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \jupiter                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{A}                |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURcr                    |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightmoon                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Leo                      |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebarpipe        |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsigma                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ddagger                  |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \permil                   |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthreequarters        |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \doteqdot                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
