Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \wedge                    |       133 |  45.1 % |  67.7 % |  86.5 % |  97.7 % |  99.2 % |
| \varphi                   |       128 |  67.2 % |  88.3 % |  92.2 % |  96.1 % |  96.9 % |
| \rightarrow               |       124 |  42.7 % |  56.5 % |  64.5 % |  75.0 % |  87.1 % |
| \sigma                    |       117 |  53.0 % |  79.5 % |  87.2 % |  90.6 % |  92.3 % |
| \prod                     |       114 |  43.0 % |  58.8 % |  70.2 % |  78.1 % |  86.0 % |
| \ll                       |       113 |  82.3 % |  98.2 % |  99.1 % |  99.1 % |  99.1 % |
| \oplus                    |       113 |  47.8 % |  65.5 % |  80.5 % |  86.7 % |  88.5 % |
| \lambda                   |       111 |  51.4 % |  61.3 % |  67.6 % |  74.8 % |  77.5 % |
| \perp                     |       110 |  17.3 % |  31.8 % |  36.4 % |  40.0 % |  45.5 % |
| \notin                    |       108 |  68.5 % |  79.6 % |  84.3 % |  94.4 % |  96.3 % |
| \vdash                    |       107 |  37.4 % |  51.4 % |  63.6 % |  72.9 % |  82.2 % |
| \oint                     |       107 |  73.8 % |  91.6 % |  94.4 % |  96.3 % |  96.3 % |
| \#                        |       107 |  64.5 % |  80.4 % |  86.0 % |  92.5 % |  96.3 % |
| \Leftrightarrow           |       106 |  82.1 % |  91.5 % |  95.3 % |  97.2 % |  97.2 % |
| \&                        |       106 |  60.4 % |  94.3 % |  96.2 % |  97.2 % |  97.2 % |
| \nabla                    |       105 |  64.8 % |  81.0 % |  91.4 % |  96.2 % |  97.1 % |
| \Smiley                   |       104 |  48.1 % |  62.5 % |  71.2 % |  76.0 % |  78.8 % |
| \smiley                   |       104 |  55.8 % |  72.1 % |  77.9 % |  79.8 % |  82.7 % |
| \mathds{N}                |       103 |  88.3 % |  92.2 % |  93.2 % |  95.1 % |  95.1 % |
| \leq                      |       102 |  76.5 % |  92.2 % |  96.1 % |  99.0 % |  99.0 % |
| \simeq                    |       101 |  88.1 % |  98.0 % |  99.0 % |  99.0 % |  99.0 % |
| \otimes                   |       101 |  70.3 % |  78.2 % |  81.2 % |  84.2 % |  86.1 % |
| \{                        |        99 |  65.7 % |  84.8 % |  93.9 % |  97.0 % |  98.0 % |
| \gamma                    |        97 |  49.5 % |  60.8 % |  68.0 % |  73.2 % |  82.5 % |
| \MVAt                     |        97 |  89.7 % |  96.9 % |  97.9 % |  97.9 % | 100.0 % |
| \mathbb{1}                |        96 |  72.9 % |  86.5 % |  90.6 % |  91.7 % |  93.8 % |
| \ell                      |        94 |  91.5 % |  94.7 % |  95.7 % |  96.8 % |  97.9 % |
| \circ                     |        94 |  40.4 % |  46.8 % |  52.1 % |  61.7 % |  68.1 % |
| \sqrt{}                   |        94 |  55.3 % |  79.8 % |  90.4 % |  93.6 % |  94.7 % |
| \neg                      |        94 |  58.5 % |  90.4 % |  98.9 % | 100.0 % | 100.0 % |
| \Delta                    |        92 |  55.4 % |  71.7 % |  84.8 % |  91.3 % |  97.8 % |
| \emptyset                 |        92 |  55.4 % |  64.1 % |  73.9 % |  76.1 % |  84.8 % |
| \cap                      |        90 |  64.4 % |  88.9 % |  95.6 % |  96.7 % |  96.7 % |
| \Pi                       |        89 |  38.2 % |  53.9 % |  66.3 % |  75.3 % |  78.7 % |
| \beta                     |        88 |  60.2 % |  68.2 % |  78.4 % |  89.8 % |  92.0 % |
| \chi                      |        88 |  72.7 % |  77.3 % |  84.1 % |  89.8 % |  90.9 % |
| \mathds{Z}                |        87 |  82.8 % |  88.5 % |  88.5 % |  89.7 % |  92.0 % |
| \therefore                |        86 |   9.3 % |   9.3 % |  10.5 % |  10.5 % |  10.5 % |
| \mathcal{L}               |        85 |  81.2 % |  87.1 % |  90.6 % |  96.5 % | 100.0 % |
| \%                        |        84 |  72.6 % |  84.5 % |  89.3 % |  89.3 % |  89.3 % |
| [                         |        84 |  94.0 % |  97.6 % |  97.6 % | 100.0 % | 100.0 % |
| \lesssim                  |        83 |  95.2 % |  98.8 % |  98.8 % |  98.8 % |  98.8 % |
| \hookrightarrow           |        83 |  80.7 % |  86.7 % |  91.6 % |  95.2 % |  96.4 % |
| \mapsto                   |        83 |  71.1 % |  94.0 % |  97.6 % |  98.8 % |  98.8 % |
| \heartsuit                |        81 |  65.4 % |  77.8 % |  82.7 % |  85.2 % |  85.2 % |
| \mu                       |        81 |  70.4 % |  87.7 % |  92.6 % |  93.8 % |  97.5 % |
| \checkmark                |        81 |  85.2 % |  93.8 % |  98.8 % |  98.8 % |  98.8 % |
| \varepsilon               |        78 |  57.7 % |  69.2 % |  78.2 % |  85.9 % |  93.6 % |
| \geq                      |        77 |  84.4 % |  94.8 % |  98.7 % |  98.7 % |  98.7 % |
| \mathscr{L}               |        74 |  82.4 % |  91.9 % |  93.2 % |  94.6 % |  97.3 % |
| \gg                       |        72 |  83.3 % |  95.8 % |  98.6 % |  98.6 % |  98.6 % |
| \delta                    |        72 |  79.2 % |  88.9 % |  93.1 % |  95.8 % |  97.2 % |
| \cup                      |        71 |  71.8 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \langle                   |        70 |  81.4 % |  95.7 % |  97.1 % |  97.1 % |  98.6 % |
| \vee                      |        70 |  75.7 % |  91.4 % |  95.7 % |  97.1 % |  98.6 % |
| \mathcal{O}               |        70 |  68.6 % |  80.0 % |  84.3 % |  85.7 % |  87.1 % |
| \textless                 |        67 |  76.1 % |  88.1 % |  94.0 % |  98.5 % |  98.5 % |
| \gtrsim                   |        67 |  94.0 % |  97.0 % |  97.0 % |  98.5 % |  98.5 % |
| \zeta                     |        65 |  73.8 % |  76.9 % |  81.5 % |  86.2 % |  89.2 % |
| \rho                      |        65 |  76.9 % |  86.2 % |  89.2 % |  95.4 % |  95.4 % |
| \bot                      |        65 |  46.2 % |  64.6 % |  72.3 % |  80.0 % |  92.3 % |
| \eta                      |        62 |  75.8 % |  90.3 % |  95.2 % |  96.8 % |  98.4 % |
| /                         |        61 |  41.0 % |  59.0 % |  78.7 % |  82.0 % |  83.6 % |
| \textgreater              |        61 |  88.5 % |  95.1 % |  96.7 % |  96.7 % | 100.0 % |
| \subset                   |        61 |  95.1 % |  95.1 % |  95.1 % |  95.1 % |  96.7 % |
| \upvarphi                 |        60 |  83.3 % |  95.0 % |  98.3 % |  98.3 % |  98.3 % |
| \degree                   |        60 |  73.3 % |  75.0 % |  78.3 % |  88.3 % |  91.7 % |
| \omega                    |        59 |  83.1 % |  93.2 % | 100.0 % | 100.0 % | 100.0 % |
| \Omega                    |        59 |  78.0 % |  89.8 % |  93.2 % |  98.3 % | 100.0 % |
| \bigstar                  |        58 |  86.2 % |  93.1 % |  94.8 % |  94.8 % |  98.3 % |
| \phi                      |        57 |  70.2 % |  78.9 % |  82.5 % |  84.2 % |  87.7 % |
| \llbracket                |        57 |  78.9 % |  93.0 % |  93.0 % |  94.7 % |  94.7 % |
| \uppi                     |        56 |  67.9 % |  73.2 % |  76.8 % |  80.4 % |  82.1 % |
| \psi                      |        55 |  85.5 % |  85.5 % |  87.3 % |  90.9 % |  96.4 % |
| \textpm                   |        55 |  72.7 % |  87.3 % |  89.1 % |  94.5 % |  96.4 % |
| \bigcup                   |        54 |  85.2 % |  96.3 % |  98.1 % |  98.1 % |  98.1 % |
| \blacksquare              |        54 |  61.1 % |  66.7 % |  72.2 % |  75.9 % |  77.8 % |
| \aleph                    |        53 |  64.2 % |  75.5 % |  84.9 % |  84.9 % |  88.7 % |
| \setminus                 |        52 |  65.4 % |  78.8 % |  90.4 % |  98.1 % |  98.1 % |
| \Phi                      |        52 |  73.1 % |  80.8 % |  80.8 % |  80.8 % |  80.8 % |
| \upalpha                  |        52 |  82.7 % |  90.4 % |  96.2 % |  96.2 % |  96.2 % |
| \texttimes                |        52 |  73.1 % |  84.6 % |  96.2 % |  98.1 % |  98.1 % |
| \triangleq                |        51 |  96.1 % |  96.1 % |  96.1 % |  96.1 % |  98.0 % |
| \Longrightarrow           |        50 |  90.0 % |  96.0 % |  98.0 % |  98.0 % |  98.0 % |
| \bigoplus                 |        49 |  51.0 % |  69.4 % |  81.6 % |  85.7 % |  85.7 % |
| \leftrightarrow           |        48 |  89.6 % |  95.8 % |  97.9 % |  97.9 % |  97.9 % |
| \leadsto                  |        48 |  95.8 % |  97.9 % |  97.9 % |  97.9 % |  97.9 % |
| \leqslant                 |        47 |  91.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| |                         |        47 |  63.8 % |  74.5 % |  87.2 % |  91.5 % |  93.6 % |
| \lightning                |        47 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Heart                    |        46 |  65.2 % |  78.3 % |  89.1 % |  89.1 % |  89.1 % |
| \textasciicircum          |        46 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AA                       |        46 |  78.3 % |  97.8 % |  97.8 % |  97.8 % |  97.8 % |
| \ni                       |        46 |  82.6 % |  95.7 % |  97.8 % | 100.0 % | 100.0 % |
| \Lambda                   |        46 |  84.8 % |  89.1 % |  91.3 % |  95.7 % |  97.8 % |
| \Gamma                    |        45 |  84.4 % |  95.6 % |  95.6 % |  95.6 % |  95.6 % |
| \vDash                    |        45 |  64.4 % |  77.8 % |  86.7 % |  88.9 % |  91.1 % |
| \Psi                      |        45 |  88.9 % |  93.3 % |  93.3 % |  95.6 % |  97.8 % |
| \mathcal{P}               |        44 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cdot                     |        44 |   4.5 % |   4.5 % |   4.5 % |   4.5 % |   4.5 % |
| \Bat                      |        44 |  40.9 % |  50.0 % |  52.3 % |  59.1 % |  65.9 % |
| \textesh                  |        44 |  88.6 % |  93.2 % |  95.5 % | 100.0 % | 100.0 % |
| \odot                     |        44 |  75.0 % |  84.1 % |  86.4 % |  86.4 % |  88.6 % |
| \`                        |        44 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textregistered           |        44 |  97.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \top                      |        43 |  81.4 % |  93.0 % |  97.7 % |  97.7 % | 100.0 % |
| \vdots                    |        42 |   9.5 % |   9.5 % |   9.5 % |  11.9 % |  16.7 % |
| \textasciitilde           |        41 |  97.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nmid                     |        41 |  92.7 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \supseteq                 |        41 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{C}                |        41 |  97.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lfloor                   |        40 |  95.0 % |  95.0 % |  95.0 % | 100.0 % | 100.0 % |
| \varnothing               |        40 |  75.0 % |  80.0 % |  82.5 % |  82.5 % |  92.5 % |
| \shortrightarrow          |        40 |  95.0 % |  97.5 % |  97.5 % |  97.5 % |  97.5 % |
| \ddots                    |        40 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  20.0 % |
| \textepsilon              |        39 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \prec                     |        39 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Xi                       |        38 |  94.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{1}                |        38 |  92.1 % |  92.1 % |  94.7 % |  94.7 % |  97.4 % |
| \mathcal{N}               |        37 |  97.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upmu                     |        37 |  81.1 % |  94.6 % |  94.6 % |  97.3 % |  97.3 % |
| \nexists                  |        36 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartheta                 |        35 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_equiv                |        35 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \checked                  |        34 |  88.2 % |  94.1 % |  94.1 % |  97.1 % |  97.1 % |
| \tau                      |        34 |  94.1 % |  94.1 % |  94.1 % |  94.1 % |  94.1 % |
| \textdegree               |        34 |  94.1 % |  97.1 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{A}               |        33 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nu                       |        33 |  97.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dag                      |        32 |  62.5 % |  87.5 % |  90.6 % |  96.9 % |  96.9 % |
| \models                   |        32 |  81.2 % |  84.4 % |  87.5 % |  90.6 % |  96.9 % |
| \textbraceleft            |        32 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wp                       |        32 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EUR                      |        32 |  71.9 % |  81.2 % |  84.4 % |  90.6 % |  93.8 % |
| \textasteriskcentered     |        31 |  96.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \hbar                     |        31 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigwedge                 |        30 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preceq                   |        30 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightsquigarrow          |        30 |  96.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lceil                    |        30 |  83.3 % |  96.7 % | 100.0 % | 100.0 % | 100.0 % |
| \longrightarrow           |        30 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightharpoonup           |        30 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mid                      |        30 |  40.0 % |  50.0 % |  60.0 % |  60.0 % |  63.3 % |
| \S                        |        30 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \epsilon                  |        29 |  82.8 % |  82.8 % |  86.2 % |  89.7 % |  89.7 % |
| \Longleftrightarrow       |        29 |  79.3 % |  93.1 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftharpoons        |        29 |  96.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \astrosun                 |        29 |  79.3 % |  86.2 % |  93.1 % |  93.1 % |  93.1 % |
| \geqslant                 |        29 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backslash                |        29 |  69.0 % |  89.7 % |  96.6 % |  96.6 % | 100.0 % |
| \rtimes                   |        29 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kappa                    |        29 |  89.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{S}              |        28 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \|                        |        28 |  75.0 % |  92.9 % | 100.0 % | 100.0 % | 100.0 % |
| \upxi                     |        28 |  96.4 % |  96.4 % |  96.4 % |  96.4 % |  96.4 % |
| \mathcal{E}               |        28 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ast                      |        28 |  71.4 % |  82.1 % |  82.1 % |  85.7 % |  85.7 % |
| \o                        |        28 |  96.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supset                   |        28 |  96.4 % |  96.4 % | 100.0 % | 100.0 % | 100.0 % |
| \texttwosuperior          |        28 |  96.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upgamma                  |        27 |  92.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \twoheadrightarrow        |        27 |  88.9 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \ae                       |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \$                        |        27 |  88.9 % |  92.6 % |  96.3 % | 100.0 % | 100.0 % |
| \bigcap                   |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \parallel                 |        27 |  77.8 % |  96.3 % | 100.0 % | 100.0 % | 100.0 % |
| \uplambda                 |        27 |  96.3 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \sqcup                    |        26 |  96.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdollaroldstyle       |        26 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbeta                 |        26 |  92.3 % |  96.2 % | 100.0 % | 100.0 % | 100.0 % |
| \texttildelow             |        26 |  88.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Bowtie                   |        26 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Frowny                   |        26 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlambda               |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \aa                       |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsection              |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clubsuit                 |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigcirc                  |        25 |  96.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diameter                 |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{F}               |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Lightning                |        25 |  96.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \oiint                    |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigotimes                |        24 |  95.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iint                     |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \subsetneq                |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frownie                  |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \coprod                   |        24 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \mathcal{S}               |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \}                        |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \theta                    |        23 |  69.6 % |  87.0 % |  91.3 % | 100.0 % | 100.0 % |
| \triangle                 |        23 |  95.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsurd                 |        23 |  95.7 % |  95.7 % |  95.7 % |  95.7 % | 100.0 % |
| \Yinyang                  |        23 |  95.7 % |  95.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textsca                  |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curvearrowright          |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscripta              |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Theta                    |        23 |  91.3 % |  95.7 % | 100.0 % | 100.0 % | 100.0 % |
| \skull                    |        23 |  34.8 % |  34.8 % |  39.1 % |  39.1 % |  43.5 % |
| \sqsubseteq               |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longmapsto               |        23 |  91.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcopyright            |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{M}               |        22 |  95.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sharp                    |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \star                     |        22 |  95.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftarrows          |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upphi                    |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{C}               |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \trianglelefteq           |        22 |  90.9 % |  95.5 % |  95.5 % |  95.5 % |  95.5 % |
| \textlbrackdbl            |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \copyright                |        22 |  77.3 % |  77.3 % |  81.8 % |  90.9 % |  90.9 % |
| \angle                    |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigvee                   |        22 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rrbracket                |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uppsi                    |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathsection              |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \celsius                  |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textonehalf              |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \O                        |        22 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uppi                     |        22 |  95.5 % |  95.5 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarepsilon             |        21 |  90.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bowtie                   |        21 |  95.2 % |  95.2 % |  95.2 % | 100.0 % | 100.0 % |
| \Upsigma                  |        21 |  90.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ocircle                  |        21 |  95.2 % |  95.2 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{Q}                |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{F}               |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \spadesuit                |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptau                    |        21 |  90.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ss                       |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fullmoon                 |        20 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft          |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bullet                   |        20 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \upbeta                   |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{A}               |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{A}              |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fint                     |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{H}               |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upomega                  |        20 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diamond                  |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upchi                    |        19 |  84.2 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \nearrow                  |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquestiondown         |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightrightarrows         |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succ                     |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textinterrobang          |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Telefon                  |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thicksim                 |        19 |  94.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsigma                  |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{E}                |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{H}               |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashv                    |        18 |  77.8 % |  88.9 % |  88.9 % |  94.4 % |  94.4 % |
| \varpropto                |        18 |  88.9 % |  94.4 % |  94.4 % |  94.4 % | 100.0 % |
| \varrho                   |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \amalg                    |        18 |  88.9 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \Letter                   |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upgamma                  |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttrademark            |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textvisiblespace         |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Z}               |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
