Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |     20000 |  74.3 % |  85.0 % |  89.6 % |  92.2 % |  93.9 % |
| MEAN (classes)            |     20000 |  88.6 % |  93.7 % |  95.5 % |  96.2 % |  97.0 % |
| \int                      |       390 |  44.4 % |  63.6 % |  82.8 % |  90.8 % |  94.4 % |
| \sum                      |       368 |  41.8 % |  60.9 % |  76.9 % |  89.1 % |  93.8 % |
| \alpha                    |       233 |  35.2 % |  53.6 % |  76.8 % |  87.6 % |  94.8 % |
| \equiv                    |       231 |  74.0 % |  90.9 % |  97.0 % |  97.4 % |  97.8 % |
| \mathds{R}                |       225 |  69.3 % |  88.9 % |  94.2 % |  95.1 % |  95.6 % |
| \approx                   |       218 |  60.1 % |  92.7 % |  97.7 % |  98.6 % |  99.1 % |
| \partial                  |       210 |  69.5 % |  86.7 % |  92.4 % |  95.2 % |  96.7 % |
| \sim                      |       196 |  41.3 % |  59.7 % |  70.4 % |  86.2 % |  96.4 % |
| \square                   |       193 |  74.6 % |  88.1 % |  90.7 % |  92.2 % |  92.7 % |
| \infty                    |       192 |  87.0 % |  92.2 % |  94.8 % |  96.4 % |  97.4 % |
| \Sigma                    |       190 |  42.6 % |  64.2 % |  75.3 % |  83.7 % |  92.1 % |
| \xi                       |       190 |  44.2 % |  58.9 % |  69.5 % |  77.9 % |  85.3 % |
| \Rightarrow               |       186 |  58.1 % |  91.9 % |  97.8 % |  98.4 % |  98.9 % |
| \pm                       |       160 |  36.9 % |  56.9 % |  71.2 % |  76.9 % |  88.8 % |
| \times                    |       158 |  54.4 % |  78.5 % |  86.7 % |  91.1 % |  94.9 % |
| \neq                      |       155 |  58.1 % |  91.0 % |  92.9 % |  93.5 % |  96.1 % |
| \cong                     |       148 |  82.4 % |  98.6 % |  99.3 % |  99.3 % |  99.3 % |
| \subseteq                 |       148 |  75.7 % |  90.5 % |  97.3 % |  98.0 % |  98.6 % |
| \pi                       |       147 |  31.3 % |  53.1 % |  65.3 % |  72.1 % |  76.9 % |
| \propto                   |       144 |  50.7 % |  81.2 % |  86.8 % |  98.6 % |  99.3 % |
| \forall                   |       141 |  62.4 % |  92.9 % |  98.6 % |  99.3 % |  99.3 % |
| \exists                   |       139 |  74.8 % |  84.2 % |  89.2 % |  89.9 % |  91.4 % |
| \in                       |       134 |  39.6 % |  67.2 % |  89.6 % |  94.8 % |  96.3 % |
