Service: detexify
Number of symbols: 902
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \mathcal{L}               |        79 |  68.4 % |  87.3 % |  91.1 % |  94.9 % |  94.9 % |
| \neg                      |        76 |  35.5 % |  86.8 % |  97.4 % |  97.4 % |  98.7 % |
| \zeta                     |        76 |  52.6 % |  69.7 % |  81.6 % |  82.9 % |  85.5 % |
| \vee                      |        75 |  49.3 % |  78.7 % |  94.7 % |  98.7 % |  98.7 % |
| /                         |        74 |  10.8 % |  28.4 % |  52.7 % |  59.5 % |  62.2 % |
| \eta                      |        73 |  34.2 % |  67.1 % |  82.2 % |  89.0 % |  89.0 % |
| \rho                      |        73 |  47.9 % |  67.1 % |  86.3 % |  89.0 % |  91.8 % |
| \degree                   |        73 |  11.0 % |  17.8 % |  24.7 % |  32.9 % |  42.5 % |
| \lightning                |        73 |  65.8 % |  86.3 % |  89.0 % |  91.8 % |  93.2 % |
| \textless                 |        72 |  43.1 % |  72.2 % |  87.5 % |  97.2 % | 100.0 % |
| \emptyset                 |        71 |  19.7 % |  38.0 % |  53.5 % |  63.4 % |  71.8 % |
| \varepsilon               |        68 |  13.2 % |  45.6 % |  63.2 % |  82.4 % |  89.7 % |
| \bigstar                  |        67 |  46.3 % |  79.1 % |  82.1 % |  82.1 % |  82.1 % |
| \phi                      |        66 |  13.6 % |  27.3 % |  43.9 % |  60.6 % |  78.8 % |
| \subset                   |        66 |  72.7 % |  83.3 % |  89.4 % |  90.9 % |  97.0 % |
| \hookrightarrow           |        64 |  65.6 % |  76.6 % |  79.7 % |  82.8 % |  85.9 % |
| \bot                      |        64 |   9.4 % |  25.0 % |  40.6 % |  57.8 % |  70.3 % |
| \omega                    |        64 |  40.6 % |  76.6 % |  96.9 % |  96.9 % |  98.4 % |
| \Omega                    |        64 |  37.5 % |  70.3 % |  85.9 % |  98.4 % | 100.0 % |
| \mathscr{L}               |        62 |  66.1 % |  83.9 % |  93.5 % |  95.2 % |  95.2 % |
| \Heart                    |        61 |  32.8 % |  68.9 % |  78.7 % |  83.6 % |  83.6 % |
| \textbraceleft            |        61 |  52.5 % |  82.0 % |  98.4 % |  98.4 % |  98.4 % |
| \Pi                       |        60 |   8.3 % |  36.7 % |  53.3 % |  65.0 % |  73.3 % |
| \textgreater              |        59 |  40.7 % |  81.4 % |  86.4 % |  91.5 % | 100.0 % |
| \`                        |        57 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \upalpha                  |        56 |  33.9 % |  50.0 % |  73.2 % |  91.1 % |  94.6 % |
| \wp                       |        54 |  87.0 % |  92.6 % |  94.4 % |  96.3 % |  96.3 % |
| \gtrsim                   |        54 |  90.7 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \varnothing               |        53 |  13.2 % |  30.2 % |  56.6 % |  71.7 % |  77.4 % |
| \Bat                      |        53 |  28.3 % |  50.9 % |  58.5 % |  62.3 % |  66.0 % |
| \leftrightarrow           |        52 |  55.8 % |  71.2 % |  76.9 % |  76.9 % |  80.8 % |
| \upvarphi                 |        52 |  36.5 % |  84.6 % |  88.5 % |  96.2 % |  96.2 % |
| \uppi                     |        52 |  32.7 % |  46.2 % |  61.5 % |  63.5 % |  71.2 % |
| \setminus                 |        50 |  20.0 % |  42.0 % |  60.0 % |  90.0 % | 100.0 % |
| \llbracket                |        50 |  54.0 % |  86.0 % |  90.0 % |  92.0 % |  94.0 % |
| \textesh                  |        50 |  26.0 % |  56.0 % |  68.0 % |  88.0 % |  90.0 % |
| \mathcal{O}               |        49 |  32.7 % |  55.1 % |  63.3 % |  71.4 % |  79.6 % |
| \hbar                     |        49 |  95.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleq                |        49 |  93.9 % |  95.9 % |  98.0 % |  98.0 % | 100.0 % |
| \Gamma                    |        47 |  53.2 % |  76.6 % |  89.4 % |  91.5 % |  91.5 % |
| \aleph                    |        47 |  34.0 % |  44.7 % |  53.2 % |  61.7 % |  66.0 % |
| \prec                     |        46 |  73.9 % |  89.1 % |  95.7 % |  97.8 % |  97.8 % |
| \psi                      |        46 |  30.4 % |  45.7 % |  67.4 % |  84.8 % |  84.8 % |
| \upxi                     |        45 |  13.3 % |  24.4 % |  33.3 % |  40.0 % |  46.7 % |
| \blacksquare              |        45 |   6.7 % |  37.8 % |  62.2 % |  64.4 % |  73.3 % |
| \supset                   |        44 |  86.4 % |  97.7 % |  97.7 % |  97.7 % |  97.7 % |
| \cdot                     |        44 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \supseteq                 |        44 |  68.2 % |  90.9 % |  97.7 % |  97.7 % |  97.7 % |
| \odot                     |        43 |  27.9 % |  39.5 % |  48.8 % |  53.5 % |  55.8 % |
| \nmid                     |        43 |  41.9 % |  67.4 % |  81.4 % |  83.7 % |  86.0 % |
| \bigcup                   |        43 |  53.5 % |  88.4 % |  97.7 % |  97.7 % | 100.0 % |
| \mathcal{N}               |        43 |  53.5 % |  83.7 % |  90.7 % |  95.3 % |  95.3 % |
| \mathcal{P}               |        43 |  55.8 % |  79.1 % |  81.4 % |  83.7 % |  86.0 % |
| |                         |        42 |  11.9 % |  26.2 % |  47.6 % |  57.1 % |  69.0 % |
| \textregistered           |        42 |  78.6 % |  95.2 % |  97.6 % |  97.6 % |  97.6 % |
| \leadsto                  |        42 |  54.8 % |  76.2 % |  81.0 % |  81.0 % |  81.0 % |
| \models                   |        41 |   7.3 % |  26.8 % |  29.3 % |  34.1 % |  58.5 % |
| \textpm                   |        41 |  17.1 % |  43.9 % |  56.1 % |  73.2 % |  85.4 % |
| \Phi                      |        41 |  48.8 % |  68.3 % |  75.6 % |  75.6 % |  75.6 % |
| \Psi                      |        41 |  29.3 % |  48.8 % |  73.2 % |  90.2 % |  90.2 % |
| \AA                       |        41 |  53.7 % |  75.6 % |  80.5 % |  85.4 % |  87.8 % |
| \vdots                    |        40 |   5.0 % |   5.0 % |   7.5 % |   7.5 % |   7.5 % |
| \twoheadrightarrow        |        40 |  67.5 % |  75.0 % |  77.5 % |  80.0 % |  85.0 % |
| \ddots                    |        39 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texttimes                |        39 |  20.5 % |  51.3 % |  69.2 % |  79.5 % |  82.1 % |
| \not_equiv                |        38 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathcal{F}               |        38 |  52.6 % |  63.2 % |  81.6 % |  86.8 % |  89.5 % |
| \nexists                  |        38 |  86.8 % |  86.8 % |  92.1 % |  92.1 % |  92.1 % |
| \triangle                 |        38 |  57.9 % |  71.1 % |  81.6 % |  97.4 % | 100.0 % |
| \textdegree               |        38 |  21.1 % |  39.5 % |  50.0 % |  55.3 % |  60.5 % |
| \textasciicircum          |        38 |  65.8 % |  86.8 % |  94.7 % | 100.0 % | 100.0 % |
| \vDash                    |        37 |  24.3 % |  40.5 % |  56.8 % |  73.0 % |  73.0 % |
| \Frowny                   |        37 |  56.8 % |  70.3 % |  70.3 % |  78.4 % |  81.1 % |
| \top                      |        36 |  19.4 % |  47.2 % |  52.8 % |  61.1 % |  66.7 % |
| \EUR                      |        36 |  22.2 % |  36.1 % |  52.8 % |  61.1 % |  80.6 % |
| \upmu                     |        36 |  55.6 % |  75.0 % |  80.6 % |  91.7 % |  91.7 % |
| \celsius                  |        36 |  61.1 % |  77.8 % |  91.7 % |  97.2 % |  97.2 % |
| \mid                      |        36 |  16.7 % |  19.4 % |  36.1 % |  47.2 % |  63.9 % |
| \bigoplus                 |        36 |  16.7 % |  30.6 % |  50.0 % |  69.4 % |  77.8 % |
| \bigwedge                 |        35 |  34.3 % |  48.6 % |  74.3 % |  82.9 % |  88.6 % |
| \theta                    |        35 |  20.0 % |  42.9 % |  60.0 % |  80.0 % |  80.0 % |
| \Xi                       |        35 |  45.7 % |  80.0 % |  88.6 % |  91.4 % |  91.4 % |
| \mathcal{A}               |        34 |  64.7 % |  79.4 % |  85.3 % |  85.3 % |  97.1 % |
| \|                        |        34 |  32.4 % |  41.2 % |  58.8 % |  73.5 % |  88.2 % |
| \Longrightarrow           |        33 |  51.5 % |  81.8 % |  84.8 % |  87.9 % |  90.9 % |
| \S                        |        33 |  45.5 % |  63.6 % |  72.7 % |  84.8 % |  87.9 % |
| \lceil                    |        33 |  72.7 % |  81.8 % |  93.9 % |  93.9 % |  93.9 % |
| \ni                       |        33 |  48.5 % |  87.9 % |  93.9 % |  93.9 % |  97.0 % |
| \tau                      |        33 |  24.2 % |  51.5 % |  57.6 % |  63.6 % |  69.7 % |
| \leqslant                 |        32 |  65.6 % |  81.2 % |  84.4 % |  84.4 % |  84.4 % |
| \Lambda                   |        32 |  28.1 % |  34.4 % |  62.5 % |  65.6 % |  75.0 % |
| \textsection              |        32 |  93.8 % |  96.9 % |  96.9 % |  96.9 % |  96.9 % |
| \mathds{C}                |        31 |  48.4 % |  67.7 % |  90.3 % |  90.3 % |  90.3 % |
| \copyright                |        31 |  12.9 % |  32.3 % |  41.9 % |  80.6 % |  90.3 % |
| \ohm                      |        31 |  77.4 % |  80.6 % |  93.5 % | 100.0 % | 100.0 % |
| \shortrightarrow          |        31 |  38.7 % |  45.2 % |  64.5 % |  77.4 % |  90.3 % |
| \parallel                 |        31 |  38.7 % |  58.1 % |  67.7 % |  74.2 % |  83.9 % |
| \textlambda               |        31 |  29.0 % |  54.8 % |  58.1 % |  64.5 % |  67.7 % |
| \checked                  |        31 |  35.5 % |  67.7 % |  90.3 % |  93.5 % |  96.8 % |
| \uplambda                 |        31 |  25.8 % |  41.9 % |  51.6 % |  54.8 % |  71.0 % |
| \textasteriskcentered     |        31 |  90.3 % |  96.8 % |  96.8 % |  96.8 % |  96.8 % |
| \succ                     |        31 |  83.9 % |  93.5 % |  96.8 % |  96.8 % |  96.8 % |
| \textdollaroldstyle       |        30 |  86.7 % |  90.0 % |  96.7 % |  96.7 % |  96.7 % |
| \geqslant                 |        30 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bowtie                   |        30 |  86.7 % |  93.3 % | 100.0 % | 100.0 % | 100.0 % |
| \textepsilon              |        30 |  33.3 % |  56.7 % |  70.0 % |  76.7 % |  86.7 % |
| \ast                      |        29 |  24.1 % |  51.7 % |  55.2 % |  69.0 % |  69.0 % |
| \Theta                    |        29 |  41.4 % |  55.2 % |  65.5 % |  69.0 % |  69.0 % |
| \vartheta                 |        29 |  72.4 % |  89.7 % |  96.6 % |  96.6 % |  96.6 % |
| \lfloor                   |        28 |  85.7 % |  89.3 % |  92.9 % |  96.4 % | 100.0 % |
| \skull                    |        28 |  17.9 % |  21.4 % |  25.0 % |  32.1 % |  32.1 % |
| \iint                     |        28 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clubsuit                 |        27 |  48.1 % |  74.1 % |  74.1 % |  81.5 % |  85.2 % |
| \textcopyright            |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{1}                |        27 |  55.6 % |  70.4 % |  70.4 % |  74.1 % |  77.8 % |
| \rightleftharpoons        |        27 |  96.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttwosuperior          |        27 |  77.8 % |  92.6 % |  92.6 % |  92.6 % |  92.6 % |
| \Bowtie                   |        27 |  51.9 % |  88.9 % |  96.3 % |  96.3 % |  96.3 % |
| \textasciitilde           |        26 |  42.3 % |  57.7 % |  84.6 % |  96.2 % | 100.0 % |
| \aa                       |        26 |  92.3 % |  92.3 % |  96.2 % |  96.2 % |  96.2 % |
| \backslash                |        26 |  50.0 % |  69.2 % |  84.6 % |  96.2 % |  96.2 % |
| \textquestiondown         |        26 |  73.1 % |  76.9 % |  80.8 % |  84.6 % |  84.6 % |
| \epsilon                  |        26 |  42.3 % |  57.7 % |  73.1 % |  84.6 % |  88.5 % |
| \spadesuit                |        26 |  88.5 % |  92.3 % |  92.3 % |  92.3 % |  96.2 % |
| \ae                       |        26 |  73.1 % |  96.2 % |  96.2 % | 100.0 % | 100.0 % |
| \iddots                   |        26 |   7.7 % |  11.5 % |  19.2 % |  19.2 % |  19.2 % |
| \textdagger               |        25 |  88.0 % |  96.0 % |  96.0 % | 100.0 % | 100.0 % |
| \mathcal{M}               |        25 |  84.0 % |  84.0 % |  92.0 % |  92.0 % | 100.0 % |
| \nearrow                  |        25 |  88.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frownie                  |        25 |  36.0 % |  60.0 % |  64.0 % |  76.0 % |  76.0 % |
| \bigcap                   |        24 |  83.3 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \angle                    |        24 |  95.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigotimes                |        24 |  29.2 % |  54.2 % |  70.8 % |  70.8 % |  87.5 % |
| \Yinyang                  |        24 |  62.5 % |  70.8 % |  79.2 % |  87.5 % |  87.5 % |
| \o                        |        24 |  29.2 % |  50.0 % |  66.7 % |  70.8 % |  87.5 % |
| \mathsection              |        24 |  54.2 % |  66.7 % |  83.3 % |  83.3 % |  95.8 % |
| \fint                     |        24 |  87.5 % |  95.8 % |  95.8 % |  95.8 % | 100.0 % |
| \$                        |        24 |  16.7 % |  37.5 % |  66.7 % |  83.3 % |  95.8 % |
| \nu                       |        24 |  37.5 % |  41.7 % |  50.0 % |  58.3 % |  66.7 % |
| \preceq                   |        24 |  70.8 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \sqsubseteq               |        24 |  87.5 % |  95.8 % |  95.8 % | 100.0 % | 100.0 % |
| \ocircle                  |        24 |  83.3 % |  83.3 % |  91.7 % | 100.0 % | 100.0 % |
| \Uppsi                    |        23 |  60.9 % |  73.9 % |  91.3 % |  91.3 % |  91.3 % |
| \ss                       |        23 |  95.7 % |  95.7 % |  95.7 % | 100.0 % | 100.0 % |
| \rightharpoonup           |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textchi                  |        23 |  78.3 % |  82.6 % |  91.3 % |  91.3 % |  95.7 % |
| \upphi                    |        23 |  73.9 % |  87.0 % |  87.0 % |  87.0 % |  95.7 % |
| \uptau                    |        23 |  39.1 % |  65.2 % |  73.9 % |  78.3 % |  78.3 % |
| \}                        |        23 |  87.0 % |  91.3 % |  95.7 % | 100.0 % | 100.0 % |
| \div                      |        23 |  52.2 % |  60.9 % |  60.9 % |  60.9 % |  65.2 % |
| \mathscr{C}               |        22 |  81.8 % |  95.5 % |  95.5 % |  95.5 % |  95.5 % |
| \sqcup                    |        22 |  63.6 % |  86.4 % |  90.9 % | 100.0 % | 100.0 % |
| \updelta                  |        22 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightsquigarrow          |        22 |  59.1 % |  77.3 % |  81.8 % |  86.4 % |  86.4 % |
| \upvarepsilon             |        22 |  90.9 % |  90.9 % |  90.9 % |  95.5 % |  95.5 % |
| \textordfeminine          |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upgamma                  |        22 |  63.6 % |  81.8 % |  90.9 % |  95.5 % |  95.5 % |
| \uparrow                  |        22 |  81.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Longleftrightarrow       |        21 |  33.3 % |  90.5 % |  90.5 % |  90.5 % |  95.2 % |
| \Letter                   |        21 |  81.0 % |  81.0 % |  85.7 % |  85.7 % |  85.7 % |
| \sharp                    |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \doteq                    |        21 |  57.1 % |  71.4 % |  85.7 % |  90.5 % |  90.5 % |
| \iiint                    |        21 |  90.5 % |  95.2 % |  95.2 % | 100.0 % | 100.0 % |
| \O                        |        21 |  81.0 % |  90.5 % |  90.5 % |  90.5 % | 100.0 % |
| \textomega                |        21 |  95.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textvisiblespace         |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \prime                    |        21 |  81.0 % |  90.5 % | 100.0 % | 100.0 % | 100.0 % |
| \textbeta                 |        21 |  95.2 % |  95.2 % |  95.2 % |  95.2 % |  95.2 % |
| \star                     |        20 |  60.0 % |  60.0 % |  65.0 % |  70.0 % |  70.0 % |
| \Upomega                  |        20 |  75.0 % |  80.0 % |  95.0 % | 100.0 % | 100.0 % |
| \textonehalf              |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \oiint                    |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttrademark            |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dag                      |        20 |  40.0 % |  70.0 % |  70.0 % |  75.0 % |  75.0 % |
| \diamond                  |        20 |  85.0 % |  90.0 % |  95.0 % |  95.0 % |  95.0 % |
| \triangledown             |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dagger                   |        20 |  85.0 % |  85.0 % |  90.0 % | 100.0 % | 100.0 % |
| \textsca                  |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{E}               |        20 |  40.0 % |  60.0 % |  75.0 % |  80.0 % |  85.0 % |
| \Upphi                    |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus                    |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thicksim                 |        20 |  80.0 % |  85.0 % |  90.0 % | 100.0 % | 100.0 % |
| \backsim                  |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upsigma                  |        20 |  25.0 % |  30.0 % |  45.0 % |  60.0 % |  75.0 % |
| \rtimes                   |        20 |  70.0 % |  90.0 % |  95.0 % |  95.0 % |  95.0 % |
| \coprod                   |        19 |  57.9 % |  57.9 % |  63.2 % |  63.2 % |  68.4 % |
| \bigcirc                  |        19 |  68.4 % |  73.7 % |  78.9 % |  84.2 % |  94.7 % |
| \upvarsigma               |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxtimes                 |        19 |  68.4 % |  73.7 % |  73.7 % |  89.5 % |  89.5 % |
| \diameter                 |        19 |  68.4 % |  84.2 % |  89.5 % |  94.7 % |  94.7 % |
| \_                        |        19 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \subsetneq                |        19 |  89.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cross                    |        19 |  89.5 % |  94.7 % |  94.7 % | 100.0 % | 100.0 % |
| \mathcal{D}               |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \with                     |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{H}               |        19 |  78.9 % |  84.2 % |  94.7 % |  94.7 % |  94.7 % |
| \mathcal{T}               |        19 |  94.7 % |  94.7 % | 100.0 % | 100.0 % | 100.0 % |
| \searrow                  |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Z}               |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsurd                 |        18 |  83.3 % |  88.9 % |  88.9 % | 100.0 % | 100.0 % |
| \Upsilon                  |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rrbracket                |        18 |  83.3 % |  94.4 % | 100.0 % | 100.0 % | 100.0 % |
| \EURdig                   |        18 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longrightarrow           |        18 |  33.3 % |  38.9 % |  50.0 % |  61.1 % |  72.2 % |
| \Telefon                  |        18 |  88.9 % |  88.9 % |  88.9 % |  88.9 % | 100.0 % |
| \textlbrackdbl            |        18 |  72.2 % |  94.4 % |  94.4 % | 100.0 % | 100.0 % |
| \mathcal{B}               |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds                   |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyogh                 |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightrightarrows         |        17 |  82.4 % |  82.4 % |  82.4 % |  82.4 % |  82.4 % |
| \textinterrobang          |        17 |  94.1 % |  94.1 % |  94.1 % |  94.1 % |  94.1 % |
| \dotsb                    |        17 |  88.2 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \mathfrak{S}              |        17 |  76.5 % |  76.5 % |  82.4 % | 100.0 % | 100.0 % |
