Service: detexify
Number of symbols: 902
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |     20000 |  56.3 % |  73.8 % |  82.0 % |  86.7 % |  89.5 % |
| MEAN (classes)            |     20000 |  79.7 % |  87.2 % |  90.6 % |  92.6 % |  93.9 % |
| \sum                      |       438 |  37.2 % |  58.4 % |  76.0 % |  86.3 % |  91.1 % |
| \int                      |       375 |  34.7 % |  58.7 % |  79.7 % |  88.5 % |  91.5 % |
| \alpha                    |       229 |  22.3 % |  48.9 % |  71.6 % |  90.0 % |  96.1 % |
| \equiv                    |       225 |  62.2 % |  85.3 % |  92.9 % |  94.7 % |  95.1 % |
| \partial                  |       220 |  57.7 % |  81.4 % |  91.4 % |  94.5 % |  96.8 % |
| \sim                      |       211 |  30.3 % |  46.9 % |  66.4 % |  86.3 % |  96.7 % |
| \mathds{R}                |       210 |  64.8 % |  87.6 % |  95.7 % |  96.2 % |  97.6 % |
| \infty                    |       194 |  86.6 % |  93.8 % |  96.9 % |  99.0 % |  99.0 % |
| \approx                   |       189 |  56.6 % |  92.6 % |  97.4 % |  97.4 % |  97.4 % |
| \Sigma                    |       180 |  27.2 % |  54.4 % |  68.9 % |  82.8 % |  88.9 % |
| \pm                       |       174 |  16.7 % |  47.1 % |  66.1 % |  78.2 % |  90.2 % |
| \neq                      |       174 |  42.0 % |  89.1 % |  91.4 % |  94.3 % |  97.1 % |
| \times                    |       171 |  39.2 % |  64.9 % |  77.2 % |  85.4 % |  90.6 % |
| \square                   |       169 |  76.3 % |  84.6 % |  97.0 % |  98.2 % |  99.4 % |
| \Rightarrow               |       168 |  41.7 % |  85.1 % |  95.2 % |  95.8 % |  95.8 % |
| \wedge                    |       153 |  22.2 % |  59.5 % |  83.0 % |  94.8 % |  99.3 % |
| \xi                       |       152 |  36.2 % |  53.9 % |  67.1 % |  76.3 % |  81.6 % |
| \Leftrightarrow           |       148 |  58.1 % |  82.4 % |  89.2 % |  91.9 % |  91.9 % |
| \forall                   |       145 |  52.4 % |  89.7 % |  95.9 % |  97.2 % |  97.9 % |
| \subseteq                 |       144 |  59.0 % |  85.4 % |  92.4 % |  95.8 % |  97.2 % |
| \exists                   |       142 |  64.1 % |  79.6 % |  82.4 % |  85.2 % |  86.6 % |
| \varphi                   |       140 |  57.1 % |  92.9 % |  94.3 % |  94.3 % |  95.0 % |
| \pi                       |       139 |  25.9 % |  43.9 % |  56.8 % |  70.5 % |  77.0 % |
| \propto                   |       125 |  41.6 % |  75.2 % |  86.4 % |  94.4 % |  99.2 % |
| \#                        |       119 |  47.9 % |  68.1 % |  77.3 % |  85.7 % |  94.1 % |
| \cong                     |       119 |  71.4 % |  95.0 % |  98.3 % |  98.3 % |  98.3 % |
| \cap                      |       119 |  38.7 % |  87.4 % |  94.1 % |  96.6 % |  97.5 % |
| \notin                    |       117 |  64.1 % |  76.1 % |  85.5 % |  92.3 % |  95.7 % |
| \nabla                    |       116 |  44.8 % |  75.9 % |  90.5 % |  98.3 % |  98.3 % |
| \sigma                    |       116 |  46.6 % |  74.1 % |  86.2 % |  87.9 % |  88.8 % |
| \MVAt                     |       115 |  80.0 % |  93.0 % |  95.7 % |  97.4 % |  97.4 % |
| \Smiley                   |       115 |  30.4 % |  57.4 % |  70.4 % |  73.9 % |  76.5 % |
| \mathds{Z}                |       113 |  85.0 % |  92.9 % |  93.8 % |  94.7 % |  95.6 % |
| \gamma                    |       113 |  15.9 % |  30.1 % |  41.6 % |  56.6 % |  74.3 % |
| \in                       |       110 |  33.6 % |  60.9 % |  86.4 % |  94.5 % |  96.4 % |
| \vdash                    |       110 |  14.5 % |  29.1 % |  50.9 % |  60.0 % |  71.8 % |
| \&                        |       110 |  50.9 % |  90.0 % |  96.4 % |  98.2 % |  99.1 % |
| \chi                      |       109 |  45.9 % |  68.8 % |  83.5 % |  85.3 % |  91.7 % |
| \oplus                    |       109 |  25.7 % |  59.6 % |  71.6 % |  82.6 % |  84.4 % |
| \mu                       |       107 |  51.4 % |  87.9 % |  88.8 % |  95.3 % |  96.3 % |
| \perp                     |       105 |  15.2 % |  26.7 % |  29.5 % |  35.2 % |  44.8 % |
| \oint                     |       103 |  59.2 % |  83.5 % |  92.2 % |  92.2 % |  92.2 % |
| \ll                       |       101 |  63.4 % |  96.0 % |  97.0 % |  99.0 % |  99.0 % |
| \{                        |       100 |  32.0 % |  71.0 % |  90.0 % |  92.0 % |  94.0 % |
| \rightarrow               |       100 |  13.0 % |  24.0 % |  42.0 % |  57.0 % |  68.0 % |
| \checkmark                |        99 |  61.6 % |  80.8 % |  90.9 % |  96.0 % |  98.0 % |
| \beta                     |        97 |  29.9 % |  48.5 % |  73.2 % |  87.6 % |  91.8 % |
| \mathbb{1}                |        97 |  52.6 % |  78.4 % |  79.4 % |  81.4 % |  83.5 % |
| \Delta                    |        96 |  24.0 % |  47.9 % |  65.6 % |  79.2 % |  93.8 % |
| \leq                      |        95 |  72.6 % |  85.3 % |  91.6 % |  92.6 % |  96.8 % |
| \cup                      |        95 |  45.3 % |  80.0 % |  93.7 % |  95.8 % |  96.8 % |
| \simeq                    |        92 |  90.2 % |  98.9 % | 100.0 % | 100.0 % | 100.0 % |
| \prod                     |        92 |  25.0 % |  41.3 % |  54.3 % |  65.2 % |  78.3 % |
| \langle                   |        92 |  48.9 % |  84.8 % |  89.1 % |  90.2 % |  91.3 % |
| \mathds{N}                |        92 |  83.7 % |  91.3 % |  92.4 % |  94.6 % |  94.6 % |
| \ell                      |        91 |  83.5 % |  92.3 % |  93.4 % |  94.5 % |  94.5 % |
| \therefore                |        89 |   0.0 % |   0.0 % |   0.0 % |   3.4 % |   5.6 % |
| \smiley                   |        89 |  28.1 % |  48.3 % |  55.1 % |  58.4 % |  64.0 % |
| \mapsto                   |        88 |  53.4 % |  77.3 % |  87.5 % |  87.5 % |  87.5 % |
| \sqrt{}                   |        86 |  30.2 % |  73.3 % |  84.9 % |  91.9 % |  95.3 % |
| \lesssim                  |        86 |  84.9 % |  95.3 % |  97.7 % |  97.7 % |  98.8 % |
| \circ                     |        85 |   8.2 % |  20.0 % |  29.4 % |  45.9 % |  54.1 % |
| \otimes                   |        84 |  60.7 % |  71.4 % |  75.0 % |  79.8 % |  83.3 % |
| \gg                       |        83 |  47.0 % |  96.4 % |  98.8 % |  98.8 % |  98.8 % |
| \heartsuit                |        83 |  60.2 % |  75.9 % |  77.1 % |  79.5 % |  79.5 % |
| \delta                    |        83 |  50.6 % |  78.3 % |  89.2 % |  91.6 % |  94.0 % |
| [                         |        81 |  87.7 % |  92.6 % |  93.8 % |  95.1 % |  95.1 % |
| \lambda                   |        81 |  28.4 % |  45.7 % |  59.3 % |  67.9 % |  77.8 % |
| \geq                      |        79 |  60.8 % |  83.5 % |  93.7 % |  94.9 % |  97.5 % |
| \%                        |        79 |  57.0 % |  73.4 % |  74.7 % |  75.9 % |  75.9 % |
