Service: detexify
Number of symbols: 800
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \textvisiblespace         |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sun                      |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \O                        |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsection              |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \updelta                  |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thicksim                 |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \spadesuit                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Ankh                     |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| ]                         |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURtm                    |         9 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \asymp                    |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ss                       |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftarrows          |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{R}               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upsilon                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bowtie                   |         8 |  87.5 % |  87.5 % |  87.5 % | 100.0 % | 100.0 % |
| \textdagger               |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{G}               |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlbrackdbl            |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \_                        |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \searrow                  |         8 |  75.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \prime                    |         8 |  87.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \Vdash                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptheta                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upbeta                   |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartriangle              |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{A}              |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \doteq                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURdig                   |         8 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supset                   |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textinterrobang          |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{D}               |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Scorpio                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nvDash                   |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mapsfrom                 |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcopyright            |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dagger                   |         8 |  62.5 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotedblright        |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleleft             |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqcap                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cancer                   |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{B}                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{I}                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbar                  |         7 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotsb                    |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft          |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{B}               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{C}               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlnot                 |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \astrosun                 |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{P}                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangledown             |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nearrow                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ltimes                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{W}               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \because                  |         7 |  28.6 % |  28.6 % |  28.6 % |  28.6 % |  42.9 % |
| \surd                     |         7 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textphi                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dh                       |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Updelta                  |         7 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlangle               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \with                     |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Telefon                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backsim                  |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longleftrightarrow       |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EyesDollar               |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{M}              |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rfloor                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{E}               |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textomega                |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacksmiley              |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % | 100.0 % |
| \Upphi                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upharpoonright           |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circledR                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{D}               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebarslash       |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrevepsilon           |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ointctrclockwise         |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textschwa                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rbag                     |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mp                       |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nRightarrow              |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleright            |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcrh                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uptheta                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxtimes                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttrademark            |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nless                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cdots                    |         6 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \upvarrho                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdblhyphen            |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \multimap                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Q}               |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsigma                 |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \female                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textperthousand          |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Bbbk                     |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mars                     |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mho                      |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \venus                    |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURcr                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textgamma                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upomega                  |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopenbullet           |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succcurlyeq              |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \permil                   |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \L                        |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiscount             |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxplus                  |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rhd                      |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Aries                    |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Re                       |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \div                      |         5 |  80.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscomega              |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \guillemotleft            |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ominus                   |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varoiint                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textunderscore           |         5 |  60.0 % |  80.0 % |  80.0 % | 100.0 % | 100.0 % |
| \mathds{F}                |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_approx               |         5 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textperiodcentered       |         5 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathscr{M}               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{V}               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dj                       |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upepsilon                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sphericalangle           |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nsubseteq                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clock                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigsqcup                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textmusicalnote          |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotedblleft         |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiv                  |         5 |  40.0 % |  40.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttheta                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rangle                   |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leqq                     |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varkappa                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{E}                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{X}               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pointer                  |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Lightning                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Denarius                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textuparrow              |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succeq                   |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lhd                      |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bell                     |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wasylozenge              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mercury                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsupset                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \smallfrown               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circledcirc              |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebarpipe        |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Updownarrow              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \MVRightarrow             |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{S}               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curlyvee                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textonesuperior          |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Capricorn                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Shilling                 |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdollar               |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mundus                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wr                       |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Libra                    |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangle            |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Im                       |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotsc                    |         4 |   0.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \veebar                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ng                       |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{K}                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \----                     |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \Bumpeq                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upkappa                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textupsilon              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lessdot                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upeta                    |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcent                 |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortmid                 |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbullet               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{T}               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \digamma                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbigcircle            |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \centerdot                |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textbraceright           |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \subsetneqq               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \barwedge                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preccurlyeq              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cancer                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \--                       |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \Downarrow                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightarrowtriangle       |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textendash               |         4 |  50.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \textquotedbl             |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \phone                    |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varointctrclockwise      |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \approxeq                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circledast               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thickapprox              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textramshorns            |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Subset                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \updownarrow              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uparrow                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscg                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ascnode                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpi                    |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uranus                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsupseteq               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textreferencemark        |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iota                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lneq                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nrightarrow              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iiiint                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{I}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nwarrow                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftarrow                |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcrlambda             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AE                       |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Aquarius                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{V}               |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \vartriangleleft          |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlira                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lozenge                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsilon                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textctyogh               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textstretchc             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circleddash              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diagup                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \scorpio                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upnu                     |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{Q}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nshortmid                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{R}              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \th                       |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \ldots                    |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Finv                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangledown          |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{B}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backsimeq                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textnumero               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{T}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsubset                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Rrightarrow              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pisces                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cap                      |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \quotedblbase             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopeno                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthreequartersemdash  |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \biguplus                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvartheta               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \colon                    |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \mathcal{K}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscn                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uppsi                    |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortdownarrow           |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Mobilefone               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigodot                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nsim                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{D}                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succsim                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrptr                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcopyleft             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyogh                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathellipsis             |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \hookleftarrow            |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \male                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotplus                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \CircledA                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \---                      |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{F}              |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \quotesinglbase           |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uprho                    |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textvertline             |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyen                  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curvearrowleft           |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mars                     |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frown                    |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthorn                |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \oe                       |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{C}               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathdollar               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
