Service: detexify
Number of symbols: 800
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \chi                      |        45 |  93.3 % |  93.3 % |  93.3 % |  93.3 % |  95.6 % |
| \emptyset                 |        44 |  93.2 % |  97.7 % | 100.0 % | 100.0 % | 100.0 % |
| \beta                     |        43 |  93.0 % |  93.0 % |  95.3 % | 100.0 % | 100.0 % |
| \mathbb{1}                |        42 |  95.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \%                        |        41 |  85.4 % |  92.7 % |  92.7 % |  92.7 % |  92.7 % |
| \mathscr{L}               |        41 |  97.6 % |  97.6 % |  97.6 % | 100.0 % | 100.0 % |
| \vee                      |        41 |  97.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \checkmark                |        40 |  92.5 % |  97.5 % | 100.0 % | 100.0 % | 100.0 % |
| \bot                      |        40 |  65.0 % |  85.0 % |  90.0 % |  92.5 % | 100.0 % |
| \therefore                |        39 |  20.5 % |  20.5 % |  23.1 % |  23.1 % |  23.1 % |
| \heartsuit                |        38 |  86.8 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \geq                      |        38 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \gg                       |        36 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \subset                   |        36 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \delta                    |        35 |  88.6 % |  94.3 % | 100.0 % | 100.0 % | 100.0 % |
| \cup                      |        35 |  94.3 % |  97.1 % | 100.0 % | 100.0 % | 100.0 % |
| \gtrsim                   |        35 |  97.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varepsilon               |        34 |  97.1 % |  97.1 % |  97.1 % |  97.1 % |  97.1 % |
| \zeta                     |        33 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \eta                      |        33 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \langle                   |        32 |  93.8 % |  96.9 % |  96.9 % |  96.9 % |  96.9 % |
| \psi                      |        31 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textgreater              |        31 |  93.5 % |  93.5 % |  96.8 % |  96.8 % | 100.0 % |
| \mathcal{O}               |        31 |  96.8 % |  96.8 % |  96.8 % |  96.8 % |  96.8 % |
| /                         |        30 |  53.3 % |  70.0 % |  80.0 % |  83.3 % |  86.7 % |
| \bigstar                  |        30 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigcup                   |        30 |  96.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rho                      |        30 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textasciicircum          |        30 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leqslant                 |        29 |  93.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{C}                |        29 |  96.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{P}               |        28 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarphi                 |        28 |  96.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textpm                   |        28 |  85.7 % |  92.9 % |  96.4 % |  96.4 % |  96.4 % |
| \degree                   |        28 |  96.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \omega                    |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \setminus                 |        27 |  74.1 % |  81.5 % |  92.6 % |  96.3 % |  96.3 % |
| \Longrightarrow           |        27 |  92.6 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \aleph                    |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uppi                     |        27 |  88.9 % |  92.6 % |  92.6 % |  96.3 % |  96.3 % |
| \odot                     |        27 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textless                 |        26 |  88.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Heart                    |        26 |  76.9 % |  84.6 % |  96.2 % |  96.2 % |  96.2 % |
| \phi                      |        26 |  96.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \llbracket                |        26 |  96.2 % |  96.2 % |  96.2 % | 100.0 % | 100.0 % |
| \ddots                    |        26 |  23.1 % |  23.1 % |  23.1 % |  23.1 % |  23.1 % |
| \Gamma                    |        25 |  88.0 % |  92.0 % |  92.0 % |  92.0 % |  92.0 % |
| \cdot                     |        25 |   8.0 % |   8.0 % |   8.0 % |   8.0 % |   8.0 % |
| \varnothing               |        25 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AA                       |        25 |  96.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Xi                       |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upalpha                  |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \`                        |        24 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Omega                    |        24 |  95.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textregistered           |        24 |  95.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Psi                      |        23 |  95.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vdots                    |        23 |  13.0 % |  13.0 % |  13.0 % |  13.0 % |  17.4 % |
| \bigoplus                 |        23 |  95.7 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| \textepsilon              |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| |                         |        23 |  78.3 % |  87.0 % |  95.7 % |  95.7 % |  95.7 % |
| \lightning                |        23 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nmid                     |        22 |  95.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Bat                      |        22 |  45.5 % |  54.5 % |  54.5 % |  63.6 % |  63.6 % |
| \blacksquare              |        22 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ni                       |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttimes                |        22 |  90.9 % |  95.5 % | 100.0 % | 100.0 % | 100.0 % |
| \Lambda                   |        22 |  90.9 % |  95.5 % | 100.0 % | 100.0 % | 100.0 % |
| \vDash                    |        21 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleq                |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textesh                  |        21 |  95.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftrightarrow           |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lfloor                   |        20 |  90.0 % |  90.0 % |  90.0 % | 100.0 % | 100.0 % |
| \leadsto                  |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortrightarrow          |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \mathds{1}                |        20 |  90.0 % |  90.0 % |  95.0 % |  95.0 % |  95.0 % |
| \longrightarrow           |        20 |  95.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Phi                      |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \wp                       |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigwedge                 |        19 |  94.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{A}               |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ast                      |        19 |  89.5 % |  94.7 % |  94.7 % | 100.0 % | 100.0 % |
| \textdegree               |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kappa                    |        19 |  84.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lceil                    |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartheta                 |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteq                 |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \tau                      |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightsquigarrow          |        17 |  94.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \prec                     |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \top                      |        17 |  64.7 % |  88.2 % |  94.1 % |  94.1 % | 100.0 % |
| \nexists                  |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigcap                   |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \S                        |        17 |  88.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \hbar                     |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diameter                 |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
