Service: detexify
Number of symbols: 807
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| /                         |        43 |  16.3 % |  30.2 % |  41.9 % |  48.8 % |  55.8 % |
| \zeta                     |        41 |  51.2 % |  63.4 % |  82.9 % |  82.9 % |  82.9 % |
| \subset                   |        40 |  72.5 % |  85.0 % |  92.5 % |  95.0 % |  97.5 % |
| \gtrsim                   |        40 |  80.0 % |  95.0 % |  97.5 % |  97.5 % |  97.5 % |
| \delta                    |        39 |  64.1 % |  92.3 % |  97.4 % |  97.4 % |  97.4 % |
| \chi                      |        39 |  59.0 % |  66.7 % |  74.4 % |  82.1 % |  87.2 % |
| \cup                      |        39 |  46.2 % |  74.4 % |  92.3 % |  92.3 % |  94.9 % |
| \neg                      |        38 |  39.5 % |  78.9 % |  94.7 % |  97.4 % |  97.4 % |
| \leadsto                  |        38 |  68.4 % |  86.8 % |  92.1 % |  92.1 % |  94.7 % |
| \ell                      |        38 |  86.8 % |  92.1 % |  92.1 % |  94.7 % |  94.7 % |
| \hookrightarrow           |        38 |  71.1 % |  76.3 % |  86.8 % |  89.5 % |  92.1 % |
| \textgreater              |        37 |  54.1 % |  70.3 % |  75.7 % |  81.1 % |  91.9 % |
| \therefore                |        37 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lambda                   |        37 |  13.5 % |  29.7 % |  37.8 % |  45.9 % |  59.5 % |
| \eta                      |        36 |  41.7 % |  77.8 % |  83.3 % |  88.9 % |  94.4 % |
| \Pi                       |        35 |  11.4 % |  37.1 % |  54.3 % |  65.7 % |  77.1 % |
| \%                        |        35 |  60.0 % |  77.1 % |  80.0 % |  82.9 % |  85.7 % |
| \rho                      |        35 |  31.4 % |  48.6 % |  62.9 % |  71.4 % |  80.0 % |
| \Omega                    |        35 |  20.0 % |  74.3 % |  88.6 % | 100.0 % | 100.0 % |
| [                         |        34 |  82.4 % |  88.2 % |  97.1 % |  97.1 % |  97.1 % |
| \phi                      |        34 |  26.5 % |  35.3 % |  50.0 % |  55.9 % |  64.7 % |
| \`                        |        34 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \degree                   |        34 |  23.5 % |  29.4 % |  35.3 % |  38.2 % |  50.0 % |
| \varepsilon               |        34 |  17.6 % |  29.4 % |  52.9 % |  61.8 % |  76.5 % |
| \mathcal{O}               |        34 |  41.2 % |  58.8 % |  64.7 % |  64.7 % |  73.5 % |
| \mathcal{L}               |        34 |  64.7 % |  82.4 % |  82.4 % |  88.2 % |  94.1 % |
| \mid                      |        33 |  18.2 % |  18.2 % |  33.3 % |  36.4 % |  45.5 % |
| \bigcup                   |        33 |  33.3 % |  69.7 % |  84.8 % |  84.8 % |  87.9 % |
| \bot                      |        33 |   9.1 % |  21.2 % |  36.4 % |  45.5 % |  51.5 % |
| \mathscr{L}               |        32 |  71.9 % |  84.4 % |  90.6 % |  93.8 % |  96.9 % |
| \textless                 |        32 |  40.6 % |  71.9 % |  96.9 % |  96.9 % |  96.9 % |
| \gg                       |        31 |  45.2 % |  90.3 % |  96.8 % |  96.8 % |  96.8 % |
| \Phi                      |        31 |  32.3 % |  54.8 % |  64.5 % |  67.7 % |  71.0 % |
| \bigstar                  |        30 |  33.3 % |  73.3 % |  80.0 % |  80.0 % |  80.0 % |
| \Heart                    |        30 |  40.0 % |  63.3 % |  73.3 % |  73.3 % |  73.3 % |
| \EUR                      |        29 |   6.9 % |  24.1 % |  27.6 % |  37.9 % |  65.5 % |
| \upalpha                  |        29 |  37.9 % |  55.2 % |  75.9 % |  89.7 % |  89.7 % |
| \vee                      |        28 |  50.0 % |  71.4 % |  92.9 % |  92.9 % |  96.4 % |
| \leftrightarrow           |        28 |  35.7 % |  67.9 % |  67.9 % |  67.9 % |  67.9 % |
| \Psi                      |        28 |  50.0 % |  53.6 % |  67.9 % |  85.7 % |  85.7 % |
| \setminus                 |        27 |  37.0 % |  55.6 % |  70.4 % | 100.0 % | 100.0 % |
| \top                      |        27 |  11.1 % |  33.3 % |  40.7 % |  63.0 % |  77.8 % |
| \triangleq                |        27 |  88.9 % |  96.3 % |  96.3 % |  96.3 % | 100.0 % |
| \psi                      |        26 |  30.8 % |  73.1 % |  80.8 % | 100.0 % | 100.0 % |
| \lceil                    |        26 |  69.2 % |  88.5 % | 100.0 % | 100.0 % | 100.0 % |
| \nmid                     |        26 |  26.9 % |  50.0 % |  73.1 % |  80.8 % |  80.8 % |
| \Gamma                    |        25 |  64.0 % |  88.0 % |  92.0 % |  96.0 % |  96.0 % |
| \lfloor                   |        25 |  92.0 % |  92.0 % |  96.0 % | 100.0 % | 100.0 % |
| \prec                     |        24 |  70.8 % |  91.7 % |  95.8 % | 100.0 % | 100.0 % |
| \textregistered           |        24 |  79.2 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \Bat                      |        24 |  45.8 % |  54.2 % |  54.2 % |  54.2 % |  58.3 % |
| \mathds{C}                |        24 |  41.7 % |  66.7 % |  79.2 % |  79.2 % |  87.5 % |
| \varnothing               |        24 |   8.3 % |  20.8 % |  33.3 % |  45.8 % |  50.0 % |
| \blacksquare              |        23 |   8.7 % |  34.8 % |  43.5 % |  43.5 % |  52.2 % |
| \llbracket                |        23 |  60.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarphi                 |        23 |  52.2 % |  87.0 % |  91.3 % |  95.7 % |  95.7 % |
| \cdot                     |        23 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \uppi                     |        23 |  47.8 % |  69.6 % |  78.3 % |  78.3 % |  91.3 % |
| |                         |        22 |  13.6 % |  18.2 % |  50.0 % |  59.1 % |  68.2 % |
| \omega                    |        22 |  50.0 % |  81.8 % | 100.0 % | 100.0 % | 100.0 % |
| \bigoplus                 |        22 |  13.6 % |  27.3 % |  45.5 % |  54.5 % |  63.6 % |
| \|                        |        21 |  14.3 % |  47.6 % |  52.4 % |  61.9 % |  85.7 % |
| \AA                       |        21 |  66.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \twoheadrightarrow        |        21 |  85.7 % |  90.5 % |  90.5 % |  90.5 % |  90.5 % |
| \textdegree               |        21 |  14.3 % |  33.3 % |  47.6 % |  52.4 % |  66.7 % |
| \texttimes                |        21 |  38.1 % |  52.4 % |  76.2 % |  85.7 % | 100.0 % |
| \lightning                |        20 |  70.0 % |  85.0 % |  85.0 % |  85.0 % |  85.0 % |
| \mathfrak{S}              |        19 |  57.9 % |  63.2 % |  73.7 % |  84.2 % |  84.2 % |
| \mathcal{A}               |        19 |  63.2 % |  94.7 % | 100.0 % | 100.0 % | 100.0 % |
| \ddots                    |        19 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \theta                    |        19 |  15.8 % |  42.1 % |  63.2 % |  73.7 % |  78.9 % |
| \upmu                     |        19 |  47.4 % |  73.7 % |  73.7 % |  73.7 % |  78.9 % |
| \aleph                    |        19 |  31.6 % |  52.6 % |  68.4 % |  73.7 % |  78.9 % |
| \textasciitilde           |        19 |  42.1 % |  68.4 % |  84.2 % |  94.7 % | 100.0 % |
