Service: detexify
Number of symbols: 807
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \textomega                |         8 |   0.0 % |  37.5 % |  87.5 % | 100.0 % | 100.0 % |
| \doteq                    |         8 |  12.5 % |  50.0 % |  50.0 % |  62.5 % |  62.5 % |
| \textdblhyphen            |         8 |  12.5 % |  62.5 % | 100.0 % | 100.0 % | 100.0 % |
| \prime                    |         8 |  37.5 % |  50.0 % |  62.5 % |  87.5 % | 100.0 % |
| \upgamma                  |         8 |  12.5 % |  25.0 % |  50.0 % |  50.0 % |  50.0 % |
| \textdagger               |         8 |  50.0 % |  50.0 % |  50.0 % |  87.5 % |  87.5 % |
| \triangle                 |         8 |  37.5 % |  37.5 % |  50.0 % |  62.5 % |  75.0 % |
| \Mundus                   |         8 |   0.0 % |  12.5 % |  12.5 % |  12.5 % |  25.0 % |
| \dh                       |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleleft             |         8 |  37.5 % |  62.5 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus                    |         8 |  62.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightrightarrows         |         8 |  50.0 % |  50.0 % |  62.5 % |  62.5 % |  62.5 % |
| \vartriangle              |         8 |  12.5 % |  50.0 % |  75.0 % |  75.0 % |  87.5 % |
| \flat                     |         8 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdollar               |         8 |  50.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \textcopyleft             |         8 |  62.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotsb                    |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftmoon                 |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebarslash       |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \Frowny                   |         7 |  14.3 % |  14.3 % |  42.9 % |  42.9 % |  57.1 % |
| \fint                     |         7 |  57.1 % |  71.4 % | 100.0 % | 100.0 % | 100.0 % |
| \boxtimes                 |         7 |  28.6 % |  28.6 % |  57.1 % |  71.4 % |  71.4 % |
| \downarrow                |         7 |  71.4 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{D}               |         7 |  42.9 % |  57.1 % |  57.1 % |  71.4 % |  71.4 % |
| \iiint                    |         7 |  71.4 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \varrho                   |         7 |  28.6 % |  42.9 % |  71.4 % |  85.7 % |  85.7 % |
| \Upsilon                  |         7 |  57.1 % |  57.1 % |  85.7 % | 100.0 % | 100.0 % |
| \textinterrobang          |         7 |  71.4 % |  71.4 % |  71.4 % |  85.7 % | 100.0 % |
| \diagup                   |         7 |  57.1 % |  57.1 % |  57.1 % |  71.4 % |  85.7 % |
| \angle                    |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptau                    |         7 |  28.6 % |  57.1 % |  57.1 % |  71.4 % |  71.4 % |
| \rightleftharpoons        |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \triangledown             |         7 |  28.6 % |  57.1 % |  71.4 % |  85.7 % |  85.7 % |
| \varoiint                 |         7 |  71.4 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \circledast               |         7 |  42.9 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \female                   |         7 |  28.6 % |  42.9 % |  71.4 % |  85.7 % |  85.7 % |
| \bigsqcup                 |         7 |  28.6 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \iota                     |         7 |  57.1 % |  85.7 % |  85.7 % | 100.0 % | 100.0 % |
| \Upomega                  |         7 |   0.0 % |  42.9 % |  85.7 % | 100.0 % | 100.0 % |
| ]                         |         7 |  85.7 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \gtrless                  |         7 |  57.1 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \mho                      |         6 |  33.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \textquestiondown         |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \smile                    |         6 |  16.7 % |  50.0 % |  83.3 % | 100.0 % | 100.0 % |
| \cdotp                    |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textscripta              |         6 |  66.7 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftarrows          |         6 |  16.7 % |  33.3 % |  33.3 % |  33.3 % |  66.7 % |
| \Celtcross                |         6 |  33.3 % |  50.0 % |  50.0 % |  50.0 % |  66.7 % |
| \_                        |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \succcurlyeq              |         6 |  83.3 % |  83.3 % |  83.3 % | 100.0 % | 100.0 % |
| \mathscr{P}               |         6 |  33.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \mercury                  |         6 |  66.7 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \curvearrowright          |         6 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \trianglelefteq           |         6 |  66.7 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotedbl             |         6 |   0.0 % |  16.7 % |  16.7 % |  50.0 % |  66.7 % |
| \sphericalangle           |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Re                       |         6 |  16.7 % |  50.0 % |  50.0 % |  50.0 % |  66.7 % |
| \textscr                  |         6 |  83.3 % |  83.3 % |  83.3 % | 100.0 % | 100.0 % |
| \imath                    |         6 |  16.7 % |  33.3 % |  33.3 % |  50.0 % |  83.3 % |
| \sharp                    |         6 |  83.3 % |  83.3 % |  83.3 % |  83.3 % | 100.0 % |
| \upphi                    |         6 |  33.3 % |  66.7 % |  83.3 % | 100.0 % | 100.0 % |
| \mathcal{S}               |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpi                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlangle               |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Telefon                  |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \mathcal{E}               |         6 |  33.3 % |  50.0 % |  66.7 % |  66.7 % | 100.0 % |
| \rfloor                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dj                       |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textemdash               |         6 |   0.0 % |  33.3 % |  50.0 % |  50.0 % |  66.7 % |
| \textsterling             |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{I}               |         6 |  50.0 % |  66.7 % |  66.7 % |  83.3 % |  83.3 % |
| \lneq                     |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{A}              |         6 |   0.0 % |  50.0 % |  66.7 % |  66.7 % |  66.7 % |
| \textrtailn               |         6 |  66.7 % |  66.7 % |  66.7 % |  83.3 % |  83.3 % |
| \jupiter                  |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{M}               |         6 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  50.0 % |
| \--                       |         6 |   0.0 % |  16.7 % |  16.7 % |  33.3 % |  33.3 % |
| \textsurd                 |         6 |  83.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \textctyogh               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \MVRightarrow             |         5 |   0.0 % |  20.0 % |  80.0 % | 100.0 % | 100.0 % |
| \mathscr{R}               |         5 |  40.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \mathscr{B}               |         5 |  20.0 % |  20.0 % |  40.0 % |  40.0 % |  80.0 % |
| \nless                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsigma                  |         5 |  20.0 % |  20.0 % |  40.0 % |  40.0 % |  60.0 % |
| \preccurlyeq              |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{I}               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Z}               |         5 |  80.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{R}               |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartriangleright         |         5 |  40.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \textschwa                |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textnumero               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nvDash                   |         5 |  80.0 % |  80.0 % |  80.0 % | 100.0 % | 100.0 % |
| \bigtriangleup            |         5 |  20.0 % |  40.0 % |  40.0 % |  60.0 % |  80.0 % |
| \Uplambda                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURdig                   |         5 |  40.0 % |  40.0 % |  60.0 % |  80.0 % |  80.0 % |
| \Cross                    |         5 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  60.0 % |
| \upeta                    |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Denarius                 |         5 |   0.0 % |   0.0 % |  80.0 % |  80.0 % |  80.0 % |
| \Leftarrow                |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarsigma               |         5 |  60.0 % |  80.0 % |  80.0 % | 100.0 % | 100.0 % |
| \textlbrackdbl            |         5 |  40.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \natural                  |         5 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \ggg                      |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cancer                   |         5 |  20.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \mathfrak{F}              |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \blacktriangle            |         5 |  40.0 % |  40.0 % |  40.0 % |  40.0 % |  40.0 % |
| \textopenbullet           |         5 |  20.0 % |  40.0 % |  40.0 % |  40.0 % |  40.0 % |
| \varkappa                 |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbar                  |         5 |  20.0 % |  60.0 % |  60.0 % |  80.0 % | 100.0 % |
| \textphi                  |         5 |  20.0 % |  60.0 % |  60.0 % |  80.0 % |  80.0 % |
| \circledR                 |         5 |  40.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \textendash               |         5 |  40.0 % |  40.0 % |  40.0 % |  80.0 % |  80.0 % |
| \unrhd                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curvearrowleft           |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacksmiley              |         5 |   0.0 % |  20.0 % |  60.0 % |  60.0 % |  60.0 % |
| \hslash                   |         5 |   0.0 % |   0.0 % |  20.0 % |  40.0 % |  60.0 % |
| \hookleftarrow            |         5 |  60.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \asymp                    |         5 |  60.0 % |  60.0 % |  60.0 % |  80.0 % |  80.0 % |
| \bell                     |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \bowtie                   |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \mathds{Q}                |         5 |  80.0 % |  80.0 % |  80.0 % |  80.0 % | 100.0 % |
| \lessgtr                  |         5 |  60.0 % |  60.0 % |  60.0 % |  80.0 % |  80.0 % |
| \uptheta                  |         5 |  20.0 % |  40.0 % |  60.0 % |  80.0 % |  80.0 % |
| \thickapprox              |         5 |  40.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{F}               |         5 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \approxeq                 |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiscount             |         5 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \ocircle                  |         5 |  20.0 % |  40.0 % |  60.0 % |  80.0 % | 100.0 % |
| \uprho                    |         4 |  50.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \looparrowright           |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \subsetneqq               |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURtm                    |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fullmoon                 |         4 |  25.0 % |  25.0 % |  25.0 % | 100.0 % | 100.0 % |
| \diagdown                 |         4 |  25.0 % |  50.0 % |  50.0 % |  75.0 % | 100.0 % |
| \centerdot                |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  50.0 % |
| \textscg                  |         4 |  25.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{W}               |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upepsilon                |         4 |  50.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \Email                    |         4 |   0.0 % |  25.0 % |  25.0 % |  25.0 % |  25.0 % |
| \diamond                  |         4 |  50.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textyen                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mars                     |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotesingle          |         4 |   0.0 % |   0.0 % |  75.0 % |  75.0 % |  75.0 % |
| \----                     |         4 |   0.0 % |  25.0 % |  50.0 % |  50.0 % |  50.0 % |
| \venus                    |         4 |  50.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \Subset                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \between                  |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \textperthousand          |         4 |   0.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supsetneq                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{G}               |         4 |  50.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mapsfrom                 |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \guillemotleft            |         4 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \multimap                 |         4 |  25.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rhd                      |         4 |  25.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textgamma                |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathds{B}                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pointer                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil                    |         4 |  75.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \vartriangleleft          |         4 |  25.0 % |  25.0 % |  75.0 % |  75.0 % |  75.0 % |
| \aquarius                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsigma                 |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \not_approx               |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathdollar               |         4 |  50.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigodot                  |         4 |   0.0 % |  25.0 % |  50.0 % |  50.0 % |  50.0 % |
| \EURhv                    |         4 |  50.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \mathcal{V}               |         4 |  75.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \textbigcircle            |         4 |  25.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \upzeta                   |         4 |  25.0 % |  25.0 % |  50.0 % |  50.0 % |  50.0 % |
| \sagittarius              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscomega              |         4 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AE                       |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsilon                  |         4 |  25.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \Updownarrow              |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \upnu                     |         4 |   0.0 % |  25.0 % |  75.0 % | 100.0 % | 100.0 % |
| \rightmoon                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Downarrow                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uppsi                    |         4 |  25.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \mathfrak{M}              |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangledown          |         4 |   0.0 % |  25.0 % |  25.0 % |  75.0 % |  75.0 % |
| \textquoteright           |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textrptr                 |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \Ecommerce                |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \Moon                     |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpropto                |         4 |  50.0 % |  50.0 % |  75.0 % | 100.0 % | 100.0 % |
| \textonesuperior          |         4 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{U}               |         4 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \intercal                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftrightsquigarrow      |         4 |  75.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \textlptr                 |         4 |  25.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \cent                     |         4 |   0.0 % |   0.0 % |  25.0 % |  75.0 % | 100.0 % |
| \Updelta                  |         4 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftarrow                |         4 |   0.0 % |  25.0 % |  50.0 % |  75.0 % | 100.0 % |
| \invdiameter              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrecipe               |         3 |  33.3 % |  33.3 % |  33.3 % |  66.7 % |  66.7 % |
| \textscb                  |         3 |  33.3 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \pounds                   |         3 |   0.0 % |   0.0 % |  33.3 % | 100.0 % | 100.0 % |
| \mathunderscore           |         3 |   0.0 % |   0.0 % |   0.0 % |  33.3 % |  66.7 % |
| \textlira                 |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \measuredangle            |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textminus                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \biguplus                 |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cdots                    |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \mathds{A}                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cancer                   |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \pitchfork                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Pluto                    |         3 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \textlnot                 |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kreuz                    |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \ngeq                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ascnode                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \updelta                  |         3 |   0.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Upgamma                  |         3 |   0.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \bigvee                   |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnv                |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ldots                    |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \textrevepsilon           |         3 |   0.0 % |   0.0 % |  66.7 % | 100.0 % | 100.0 % |
| \textquoteleft            |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nwarrow                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \guillemotright           |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Upxi                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kappa                    |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Cap                      |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textellipsis             |         3 |   0.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \upvarpi                  |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{E}               |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \textquotestraightdblbase |         3 |   0.0 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \mathfrak{R}              |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \shortdownarrow           |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \llparenthesis            |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \lhd                      |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \dashv                    |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangleright       |         3 |   0.0 % |   0.0 % |  33.3 % |  66.7 % |  66.7 % |
| \complement               |         3 |  66.7 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \mathfrak{J}              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textg                    |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \upharpoonright           |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backsim                  |         3 |  66.7 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \textflorin               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succeq                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upphi                    |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \ldotp                    |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \male                     |         3 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \texttheta                |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \L                        |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotplus                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \---                      |         3 |   0.0 % |   0.0 % |  33.3 % |  33.3 % |  33.3 % |
| \textglobrise             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \conjunction              |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \swarrow                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ddag                     |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succsim                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlquill               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot                   |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashrightarrow           |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{F}                |         3 |   0.0 % |  33.3 % |  66.7 % | 100.0 % | 100.0 % |
| \upharpoonleft            |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \colon                    |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathscr{N}               |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textsch                  |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Upupsilon                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvartheta               |         3 |   0.0 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \leqq                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textupsilon              |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \doteqdot                 |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \lneqq                    |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrevapostrophe        |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcorner               |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{J}               |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \mathsection              |         2 |   0.0 % |   0.0 % |   0.0 % |  50.0 % |  50.0 % |
| \textdoublebaresh         |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcolonmonetary        |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nnearrow                 |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \RHD                      |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \upomega                  |         2 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangledown        |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leo                      |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \eqcirc                   |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \downharpoonright         |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURcr                    |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \EyesDollar               |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \parr                     |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdblhyphenchar        |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mp                       |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
