Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \vartheta                 |        10 |  40.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \div                      |        10 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  30.0 % |
| \vartriangle              |        10 |  40.0 % |  70.0 % |  70.0 % |  80.0 % | 100.0 % |
| \nrightarrow              |        10 |  80.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \curvearrowright          |        10 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \upmu                     |        10 |  70.0 % |  80.0 % |  80.0 % |  90.0 % |  90.0 % |
| \preceq                   |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquestiondown         |        10 |  50.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \mathcal{H}               |        10 |  50.0 % |  60.0 % |  90.0 % |  90.0 % |  90.0 % |
| \textasteriskcentered     |        10 |  70.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \textsca                  |        10 |  70.0 % |  80.0 % |  80.0 % |  90.0 % |  90.0 % |
| \_                        |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texttwosuperior          |        10 |  80.0 % |  90.0 % |  90.0 % | 100.0 % | 100.0 % |
| \mathfrak{S}              |        10 |  60.0 % |  80.0 % |  80.0 % |  90.0 % |  90.0 % |
| \longrightarrow           |        10 |   0.0 % |  20.0 % |  40.0 % |  40.0 % |  50.0 % |
| \nearrow                  |        10 |  50.0 % |  90.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frownie                  |        10 |  30.0 % |  50.0 % |  60.0 % |  70.0 % |  70.0 % |
| \textphi                  |        10 |  20.0 % |  30.0 % |  50.0 % |  80.0 % |  80.0 % |
| \dagger                   |        10 |  20.0 % |  40.0 % |  40.0 % |  60.0 % |  70.0 % |
| \textlambda               |        10 |  60.0 % |  70.0 % |  80.0 % |  80.0 % |  80.0 % |
| \textdagger               |        10 |  10.0 % |  30.0 % |  50.0 % |  50.0 % |  60.0 % |
| \mathcal{T}               |        10 |  40.0 % |  70.0 % |  90.0 % | 100.0 % | 100.0 % |
| \textdegree               |        10 |   0.0 % |   0.0 % |  20.0 % |  30.0 % |  40.0 % |
| \prime                    |        10 |  20.0 % |  30.0 % |  60.0 % |  60.0 % |  60.0 % |
| \angle                    |        10 |  90.0 % |  90.0 % |  90.0 % | 100.0 % | 100.0 % |
| \bowtie                   |        10 |  50.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \textdollaroldstyle       |        10 |  50.0 % |  80.0 % |  80.0 % |  80.0 % |  90.0 % |
| \succnsim                 |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{a}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{b}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{g}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{k}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textdctzlig              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \rrceil                   |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \leftarrowtail            |        10 |  40.0 % |  80.0 % |  80.0 % |  90.0 % |  90.0 % |
| \niplus                   |        10 |   0.0 % |   0.0 % |  20.0 % |  30.0 % |  50.0 % |
| \Longleftrightarrow       |         9 |  44.4 % |  77.8 % |  77.8 % |  88.9 % |  88.9 % |
| \lozenge                  |         9 |  22.2 % |  77.8 % |  77.8 % |  77.8 % |  77.8 % |
| \mathcal{C}               |         9 |  44.4 % |  77.8 % |  88.9 % |  88.9 % |  88.9 % |
| \O                        |         9 |  33.3 % |  55.6 % |  77.8 % |  88.9 % |  88.9 % |
| \ltimes                   |         9 |  88.9 % |  88.9 % |  88.9 % |  88.9 % | 100.0 % |
| \varoiint                 |         9 |  33.3 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \textquotedbl             |         9 |  22.2 % |  55.6 % |  66.7 % |  77.8 % |  77.8 % |
| \Cross                    |         9 |   0.0 % |  22.2 % |  22.2 % |  33.3 % |  55.6 % |
| \textyogh                 |         9 |  55.6 % |  66.7 % |  88.9 % |  88.9 % | 100.0 % |
| \bigvee                   |         9 |  22.2 % |  55.6 % |  88.9 % |  88.9 % | 100.0 % |
| \mathcal{R}               |         9 |  44.4 % |  88.9 % | 100.0 % | 100.0 % | 100.0 % |
| \Uppsi                    |         9 |  22.2 % |  44.4 % |  66.7 % |  66.7 % |  77.8 % |
| \ast                      |         9 |   0.0 % |  33.3 % |  44.4 % |  55.6 % |  55.6 % |
| \amalg                    |         9 |  11.1 % |  33.3 % |  55.6 % |  66.7 % |  77.8 % |
| \skull                    |         9 |   0.0 % |   0.0 % |  11.1 % |  11.1 % |  11.1 % |
| \circleddash              |         9 |  33.3 % |  55.6 % |  66.7 % |  66.7 % |  88.9 % |
| \Uppi                     |         9 |  22.2 % |  33.3 % |  44.4 % |  77.8 % |  77.8 % |
| \varrho                   |         9 |  44.4 % |  66.7 % |  66.7 % |  77.8 % |  77.8 % |
| \mathcal{E}               |         9 |   0.0 % |  11.1 % |  33.3 % |  55.6 % |  88.9 % |
| \textbar                  |         9 |  11.1 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \mathfrak{A}              |         9 |  22.2 % |  44.4 % |  77.8 % |  77.8 % |  88.9 % |
| \textdong                 |         9 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textrhookrevepsilon      |         9 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Lleftarrow               |         9 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Longmapsfrom             |         9 |  55.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturncelig            |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsubsetneqq            |         9 |   0.0 % |  11.1 % |  11.1 % |  33.3 % |  33.3 % |
| \mathfrak{Y}              |         9 |  22.2 % |  22.2 % |  22.2 % |  22.2 % |  33.3 % |
| \Ankh                     |         8 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \upbeta                   |         8 |  37.5 % |  50.0 % |  87.5 % |  87.5 % |  87.5 % |
| \triangleleft             |         8 |  25.0 % |  75.0 % |  87.5 % |  87.5 % | 100.0 % |
| \circledcirc              |         8 |  75.0 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \mathcal{D}               |         8 |  37.5 % |  62.5 % |  75.0 % |  87.5 % |  87.5 % |
| \triangledown             |         8 |  25.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \blacksmiley              |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  25.0 % |
| \ocircle                  |         8 |  37.5 % |  62.5 % |  75.0 % |  75.0 % |  75.0 % |
| \kappa                    |         8 |  25.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AE                       |         8 |  62.5 % |  62.5 % |  75.0 % |  87.5 % | 100.0 % |
| \downarrow                |         8 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{U}               |         8 |  62.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \bigwedge                 |         8 |  25.0 % |  37.5 % |  87.5 % |  87.5 % | 100.0 % |
| \textbeta                 |         8 |  25.0 % |  25.0 % |  50.0 % |  50.0 % |  75.0 % |
| \searrow                  |         8 |  62.5 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \Denarius                 |         8 |  75.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \Letter                   |         8 |  62.5 % |  75.0 % |  87.5 % |  87.5 % |  87.5 % |
| \mathfrak{X}              |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ominus                   |         8 |  25.0 % |  62.5 % |  75.0 % |  75.0 % | 100.0 % |
| \upsigma                  |         8 |  25.0 % |  37.5 % |  50.0 % |  62.5 % |  62.5 % |
| \iddots                   |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Re                       |         8 |   0.0 % |  12.5 % |  12.5 % |  37.5 % |  75.0 % |
| \mathcal{Z}               |         8 |  87.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \spadesuit                |         8 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \L                        |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upchi                    |         8 |  50.0 % |  62.5 % |  62.5 % |  75.0 % |  75.0 % |
| \upharpoonright           |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \gnsim                    |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \gnapprox                 |         8 |  37.5 % |  62.5 % |  87.5 % |  87.5 % |  87.5 % |
| \mathfrak{G}              |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textpalhook              |         8 |   0.0 % |   0.0 % |  25.0 % |  25.0 % |  25.0 % |
| \mathds{h}                |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \bullet                   |         7 |   0.0 % |   0.0 % |  28.6 % |  42.9 % |  42.9 % |
| \textrightarrow           |         7 |  57.1 % |  71.4 % |  71.4 % |  71.4 % | 100.0 % |
| \textquotedblleft         |         7 |  71.4 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textinterrobang          |         7 |  57.1 % |  71.4 % |  85.7 % |  85.7 % |  85.7 % |
| \subsetneq                |         7 |  14.3 % |  28.6 % |  71.4 % | 100.0 % | 100.0 % |
| \Longrightarrow           |         7 |  42.9 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \complement               |         7 |  28.6 % |  42.9 % |  71.4 % |  71.4 % |  71.4 % |
| \textendash               |         7 |  57.1 % |  57.1 % |  71.4 % |  85.7 % |  85.7 % |
| \fullmoon                 |         7 |  28.6 % |  71.4 % |  71.4 % |  85.7 % |  85.7 % |
| \Upsigma                  |         7 |  42.9 % |  71.4 % |  71.4 % |  85.7 % |  85.7 % |
| \boxplus                  |         7 |  28.6 % |  42.9 % |  42.9 % |  42.9 % |  57.1 % |
| \textdollar               |         7 |  28.6 % |  71.4 % |  71.4 % | 100.0 % | 100.0 % |
| \sharp                    |         7 |  71.4 % |  71.4 % |  85.7 % |  85.7 % |  85.7 % |
| \textonehalf              |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightsquigarrow          |         7 |  28.6 % |  57.1 % |  85.7 % | 100.0 % | 100.0 % |
| \iota                     |         7 |  42.9 % |  71.4 % |  71.4 % |  85.7 % |  85.7 % |
| \mathds{1}                |         7 |  14.3 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \uparrow                  |         7 |  28.6 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \bigsqcup                 |         7 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{P}                |         7 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{C}               |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \Upphi                    |         6 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \flat                     |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpi                    |         6 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \mathscr{E}               |         6 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  66.7 % |
| \CircledA                 |         6 |  50.0 % |  66.7 % |  66.7 % |  83.3 % |  83.3 % |
| \Upomega                  |         6 |  16.7 % |  66.7 % |  83.3 % | 100.0 % | 100.0 % |
| \textbigcircle            |         6 |   0.0 % |   0.0 % |  16.7 % |  16.7 % |  66.7 % |
| \textdiv                  |         6 |  33.3 % |  66.7 % |  83.3 % | 100.0 % | 100.0 % |
| \diamondsuit              |         6 |   0.0 % |  16.7 % |  66.7 % |  83.3 % |  83.3 % |
| \iiint                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowright         |         6 |  50.0 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \with                     |         6 |  16.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Updelta                  |         6 |  33.3 % |  50.0 % |  66.7 % |  83.3 % |  83.3 % |
| \celsius                  |         6 |  33.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{E}                |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preccurlyeq              |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| ]                         |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \guillemotleft            |         6 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftarrow                |         6 |  33.3 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \sqcup                    |         6 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upeta                    |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \vdots                    |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \astrosun                 |         6 |  33.3 % |  33.3 % |  33.3 % |  50.0 % |  66.7 % |
| \mathscr{F}               |         6 |  50.0 % |  50.0 % |  66.7 % |  83.3 % | 100.0 % |
| \textscripta              |         6 |  50.0 % |  83.3 % |  83.3 % | 100.0 % | 100.0 % |
| \mathscr{B}               |         6 |  16.7 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \textchi                  |         6 |   0.0 % |  16.7 % |  16.7 % |  33.3 % |  50.0 % |
| \subsetneqq               |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbackslash            |         6 |   0.0 % |  50.0 % |  83.3 % | 100.0 % | 100.0 % |
| \textbraceright           |         6 |  16.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dj                       |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiscount             |         6 |  33.3 % |  50.0 % |  66.7 % |  83.3 % |  83.3 % |
| \mathsection              |         6 |  33.3 % |  50.0 % |  50.0 % |  50.0 % |  66.7 % |
| \approxeq                 |         6 |  50.0 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \gtrless                  |         6 |  16.7 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \unlhd                    |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \updelta                  |         6 |   0.0 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \dh                       |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \coprod                   |         6 |  50.0 % |  50.0 % |  66.7 % |  83.3 % | 100.0 % |
| \---                      |         6 |  33.3 % |  33.3 % |  50.0 % |  66.7 % | 100.0 % |
| \rightrightarrows         |         6 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \jupiter                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{D}               |         6 |  50.0 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \upvarsigma               |         6 |  33.3 % |  33.3 % |  66.7 % |  66.7 % |  83.3 % |
| \mapsfrom                 |         6 |  33.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \circledast               |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  16.7 % |
| \rbag                     |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % | 100.0 % |
| \mathfrak{R}              |         6 |  66.7 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \succnapprox              |         6 |  16.7 % |  33.3 % |  50.0 % |  83.3 % | 100.0 % |
| \UParrow                  |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtq                  |         6 |   0.0 % |   0.0 % |  16.7 % |  16.7 % |  16.7 % |
| \sphericalangle           |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \star                     |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \mathcal{G}               |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigodot                  |         5 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  20.0 % |
| \checked                  |         5 |  40.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \nRightarrow              |         5 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \hslash                   |         5 |  40.0 % |  40.0 % |  80.0 % |  80.0 % | 100.0 % |
| \multimap                 |         5 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \doteq                    |         5 |   0.0 % |  20.0 % |  20.0 % |  40.0 % |  80.0 % |
| \Telefon                  |         5 |  40.0 % |  60.0 % |  60.0 % |  60.0 % |  80.0 % |
| \mathscr{V}               |         5 |  60.0 % |  60.0 % |  80.0 % | 100.0 % | 100.0 % |
| \sun                      |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succeq                   |         5 |  40.0 % |  40.0 % |  80.0 % |  80.0 % |  80.0 % |
| \Lightning                |         5 |  40.0 % |  40.0 % |  80.0 % | 100.0 % | 100.0 % |
| \Updownarrow              |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqcap                    |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textmusicalnote          |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \upphi                    |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Im                       |         5 |  60.0 % |  80.0 % |  80.0 % |  80.0 % | 100.0 % |
| \varsigma                 |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  80.0 % |
| \Uptheta                  |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightarrowtail           |         5 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  20.0 % |
| \textlnot                 |         5 |  40.0 % |  80.0 % |  80.0 % | 100.0 % | 100.0 % |
| \Leftarrow                |         5 |  40.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \textcrh                  |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds                   |         5 |  20.0 % |  20.0 % |  40.0 % |  80.0 % | 100.0 % |
| \texttrademark            |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdblhyphen            |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varkappa                 |         5 |  40.0 % |  60.0 % |  60.0 % | 100.0 % | 100.0 % |
| \rightleftarrows          |         5 |  80.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{Y}                |         5 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \opposition               |         5 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtrtaild             |         5 |   0.0 % |   0.0 % |   0.0 % |  20.0 % |  40.0 % |
| \vartriangleright         |         4 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscr                  |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cdotp                    |         4 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \intercal                 |         4 |   0.0 % |  50.0 % |  50.0 % |  50.0 % | 100.0 % |
| \bigtriangleup            |         4 |  25.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \measuredangle            |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textsurd                 |         4 |  25.0 % |  25.0 % |  75.0 % |  75.0 % |  75.0 % |
| \permil                   |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thicksim                 |         4 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cancer                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succcurlyeq              |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{P}              |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \female                   |         4 |  25.0 % |  50.0 % |  50.0 % |  50.0 % |  75.0 % |
| \dotso                    |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  75.0 % |
| \varsubsetneq             |         4 |   0.0 % |   0.0 % |   0.0 % |  50.0 % |  50.0 % |
| \mathfrak{F}              |         4 |  50.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \sqsubset                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varpropto                |         4 |  25.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \Ecommerce                |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textomega                |         4 |  25.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \upgamma                  |         4 |  25.0 % |  25.0 % |  50.0 % |  75.0 % |  75.0 % |
| \varointctrclockwise      |         4 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopencorner           |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mp                       |         4 |  75.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlangle               |         4 |  25.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftmoon                 |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{F}                |         4 |  25.0 % |  50.0 % |  50.0 % |  50.0 % |  75.0 % |
| \guillemotright           |         4 |  25.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rfloor                   |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \oe                       |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Bumpeq                   |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarepsilon             |         4 |   0.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \dotsb                    |         4 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \ss                       |         4 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backepsilon              |         4 |   0.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \scorpio                  |         4 |  50.0 % |  75.0 % |  75.0 % | 100.0 % | 100.0 % |
| \mathscr{R}               |         4 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \Upxi                     |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \upvartheta               |         4 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upzeta                   |         4 |  50.0 % |  50.0 % |  75.0 % | 100.0 % | 100.0 % |
| \texttildelow             |         4 |  25.0 % |  50.0 % |  50.0 % |  75.0 % | 100.0 % |
| \newmoon                  |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \gemini                   |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % | 100.0 % |
| \textnumero               |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcent                 |         4 |  25.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nless                    |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttheta                |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathcal{K}               |         4 |  50.0 % |  75.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscg                  |         4 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lessgtr                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus                    |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Yinyang                  |         4 |  25.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \textscomega              |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlbrackdbl            |         4 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wr                       |         4 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathcal{V}               |         4 |  25.0 % |  25.0 % |  25.0 % |  75.0 % |  75.0 % |
| \frown                    |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsch                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbullet               |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Upsilon                  |         4 |  25.0 % |  50.0 % |  50.0 % |  75.0 % |  75.0 % |
| \mars                     |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textschwa                |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyen                  |         4 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textunderscore           |         4 |  25.0 % |  25.0 % |  50.0 % |  75.0 % | 100.0 % |
| \ng                       |         4 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textemdash               |         4 |  25.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathds{k}                |         4 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \upsilon                  |         3 |   0.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textrevepsilon           |         3 |   0.0 % |   0.0 % |   0.0 % |  33.3 % |  66.7 % |
| \textrtailn               |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \rightharpoondown         |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diagup                   |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longmapsfrom             |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lhd                      |         3 |  33.3 % |  33.3 % |  33.3 % |  66.7 % | 100.0 % |
| \textlira                 |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Mundus                   |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathds{A}                |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \mathds{D}                |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightarrowtriangle       |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \thickapprox              |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \Faxmachine               |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textpertenthousand       |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
