Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \bot                      |        39 |  12.8 % |  28.2 % |  48.7 % |  64.1 % |  82.1 % |
| \smiley                   |        38 |  23.7 % |  34.2 % |  42.1 % |  47.4 % |  52.6 % |
| \%                        |        38 |  52.6 % |  57.9 % |  63.2 % |  68.4 % |  71.1 % |
| \gtrsim                   |        37 |  91.9 % |  97.3 % |  97.3 % |  97.3 % |  97.3 % |
| \prod                     |        37 |  21.6 % |  43.2 % |  54.1 % |  67.6 % |  78.4 % |
| \rho                      |        37 |  56.8 % |  62.2 % |  81.1 % |  83.8 % |  86.5 % |
| \lesssim                  |        37 |  78.4 % |  91.9 % |  94.6 % |  94.6 % |  94.6 % |
| \therefore                |        36 |   0.0 % |   2.8 % |   2.8 % |   2.8 % |   2.8 % |
| \varepsilon               |        35 |  17.1 % |  31.4 % |  54.3 % |  74.3 % |  82.9 % |
| \mathds{N}                |        34 |  76.5 % |  91.2 % |  91.2 % |  91.2 % |  97.1 % |
| /                         |        33 |  15.2 % |  45.5 % |  54.5 % |  69.7 % |  75.8 % |
| \zeta                     |        33 |  57.6 % |  69.7 % |  78.8 % |  84.8 % |  84.8 % |
| \neg                      |        33 |  27.3 % |  90.9 % |  97.0 % | 100.0 % | 100.0 % |
| \mathscr{L}               |        33 |  60.6 % |  87.9 % |  97.0 % |  97.0 % | 100.0 % |
| \checkmark                |        33 |  63.6 % |  87.9 % |  93.9 % |  97.0 % |  97.0 % |
| \Gamma                    |        33 |  48.5 % |  75.8 % |  87.9 % |  90.9 % |  90.9 % |
| \Delta                    |        32 |  25.0 % |  56.2 % |  71.9 % |  75.0 % |  84.4 % |
| \Heart                    |        32 |  46.9 % |  78.1 % |  81.2 % |  87.5 % |  87.5 % |
| \mathcal{O}               |        32 |  40.6 % |  53.1 % |  56.2 % |  65.6 % |  68.8 % |
| \vee                      |        31 |  48.4 % |  67.7 % |  87.1 % |  93.5 % |  93.5 % |
| \textless                 |        31 |  45.2 % |  71.0 % |  93.5 % |  96.8 % |  96.8 % |
| \mathcal{L}               |        31 |  64.5 % |  80.6 % |  90.3 % |  96.8 % |  96.8 % |
| \eta                      |        30 |  23.3 % |  70.0 % |  83.3 % |  83.3 % |  86.7 % |
| \Phi                      |        29 |  31.0 % |  58.6 % |  58.6 % |  72.4 % |  82.8 % |
| \degree                   |        29 |  10.3 % |  20.7 % |  24.1 % |  44.8 % |  48.3 % |
| \textgreater              |        29 |  48.3 % |  72.4 % |  93.1 % |  96.6 % |  96.6 % |
| \subset                   |        29 |  86.2 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \Pi                       |        28 |   0.0 % |  14.3 % |  46.4 % |  57.1 % |  64.3 % |
| \hookrightarrow           |        28 |  71.4 % |  85.7 % |  85.7 % |  92.9 % |  92.9 % |
| \triangleq                |        28 |  92.9 % |  96.4 % |  96.4 % |  96.4 % | 100.0 % |
| \`                        |        27 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \psi                      |        27 |  51.9 % |  59.3 % |  74.1 % |  88.9 % | 100.0 % |
| \gg                       |        27 |  51.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbraceleft            |        27 |  48.1 % |  81.5 % |  88.9 % |  92.6 % |  92.6 % |
| \blacksquare              |        26 |  34.6 % |  61.5 % |  76.9 % |  84.6 % |  84.6 % |
| \aleph                    |        26 |  42.3 % |  46.2 % |  57.7 % |  65.4 % |  69.2 % |
| \nu                       |        25 |  32.0 % |  60.0 % |  72.0 % |  76.0 % |  88.0 % |
| \varnothing               |        25 |  28.0 % |  44.0 % |  48.0 % |  64.0 % |  72.0 % |
| \prec                     |        24 |  87.5 % |  87.5 % |  87.5 % |  91.7 % |  95.8 % |
| \lambda                   |        23 |  21.7 % |  30.4 % |  39.1 % |  43.5 % |  60.9 % |
| \upalpha                  |        23 |  13.0 % |  52.2 % |  60.9 % |  87.0 % | 100.0 % |
| \uppi                     |        22 |  27.3 % |  36.4 % |  45.5 % |  59.1 % |  72.7 % |
| \setminus                 |        22 |  18.2 % |  40.9 % |  50.0 % |  86.4 % |  90.9 % |
| \omega                    |        22 |  50.0 % |  72.7 % |  90.9 % |  90.9 % |  90.9 % |
| \upvarphi                 |        22 |  36.4 % |  95.5 % |  95.5 % | 100.0 % | 100.0 % |
| \bigstar                  |        22 |  40.9 % |  63.6 % |  63.6 % |  63.6 % |  68.2 % |
| \leftrightarrow           |        22 |  45.5 % |  68.2 % |  72.7 % |  77.3 % |  77.3 % |
| \bigcup                   |        21 |  42.9 % |  71.4 % |  85.7 % |  90.5 % | 100.0 % |
| \lfloor                   |        21 |  85.7 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \textregistered           |        21 |  66.7 % |  81.0 % |  81.0 % |  81.0 % |  81.0 % |
| \hbar                     |        21 |  61.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_equiv                |        21 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lightning                |        21 |  66.7 % |  95.2 % | 100.0 % | 100.0 % | 100.0 % |
| \succ                     |        20 |  95.0 % |  95.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigoplus                 |        20 |  20.0 % |  40.0 % |  55.0 % |  65.0 % |  70.0 % |
| \bigcap                   |        20 |  70.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \leqslant                 |        20 |  70.0 % |  90.0 % |  90.0 % |  95.0 % |  95.0 % |
| \mathfrak{r}              |        20 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textsection              |        19 |  26.3 % |  42.1 % |  63.2 % |  78.9 % |  89.5 % |
| \textbarb                 |        19 |  15.8 % |  26.3 % |  26.3 % |  26.3 % |  26.3 % |
| \curlyeqsucc              |        19 |   0.0 % |  15.8 % |  21.1 % |  26.3 % |  31.6 % |
| \twoheadrightarrow        |        18 |  88.9 % |  88.9 % |  94.4 % |  94.4 % |  94.4 % |
| \llbracket                |        18 |  55.6 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \textasciitilde           |        18 |  33.3 % |  61.1 % |  72.2 % |  88.9 % |  94.4 % |
| \S                        |        18 |  27.8 % |  38.9 % |  61.1 % |  72.2 % |  77.8 % |
| \tau                      |        18 |  22.2 % |  38.9 % |  55.6 % |  61.1 % |  61.1 % |
| \Bat                      |        18 |  16.7 % |  27.8 % |  33.3 % |  44.4 % |  50.0 % |
| \textepsilon              |        18 |  16.7 % |  50.0 % |  72.2 % |  83.3 % |  94.4 % |
| \phi                      |        18 |   5.6 % |  22.2 % |  50.0 % |  61.1 % |  72.2 % |
| \|                        |        18 |   5.6 % |  33.3 % |  38.9 % |  50.0 % |  83.3 % |
| \triangleright            |        18 |  44.4 % |  66.7 % |  77.8 % |  83.3 % |  83.3 % |
| \$                        |        18 |  16.7 % |  50.0 % |  72.2 % |  83.3 % |  88.9 % |
| \gvertneqq                |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{n}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{v}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \wp                       |        17 |  64.7 % |  76.5 % |  88.2 % |  94.1 % |  94.1 % |
| \fint                     |        17 |  41.2 % |  76.5 % |  88.2 % | 100.0 % | 100.0 % |
| \mathcal{P}               |        17 |  58.8 % |  70.6 % |  76.5 % |  82.4 % |  88.2 % |
| \supseteq                 |        17 |  64.7 % |  82.4 % | 100.0 % | 100.0 % | 100.0 % |
| \Xi                       |        17 |  41.2 % |  82.4 % | 100.0 % | 100.0 % | 100.0 % |
| \supset                   |        17 |  88.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ngeqq                    |        17 |   5.9 % |  23.5 % |  35.3 % |  88.2 % | 100.0 % |
| \texttimes                |        16 |  18.8 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \Psi                      |        16 |  12.5 % |  56.2 % |  62.5 % |  75.0 % |  87.5 % |
| \textesh                  |        16 |  37.5 % |  50.0 % |  75.0 % |  81.2 % |  87.5 % |
| \ddots                    |        16 |   6.2 % |   6.2 % |   6.2 % |   6.2 % |   6.2 % |
| \mathcal{A}               |        16 |  68.8 % |  81.2 % |  87.5 % |  87.5 % |  93.8 % |
| \nmid                     |        16 |  56.2 % |  68.8 % |  87.5 % |  87.5 % |  87.5 % |
| \ohm                      |        16 |  31.2 % |  43.8 % |  56.2 % |  81.2 % |  93.8 % |
| \RIGHTarrow               |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{t}              |        16 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nsucceq                  |        16 |  93.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ni                       |        15 |  66.7 % |  93.3 % |  93.3 % |  93.3 % | 100.0 % |
| \Frowny                   |        15 |  20.0 % |  53.3 % |  53.3 % |  53.3 % |  66.7 % |
| \textvisiblespace         |        15 |  93.3 % |  93.3 % | 100.0 % | 100.0 % | 100.0 % |
| \odot                     |        15 |  20.0 % |  26.7 % |  53.3 % |  53.3 % |  60.0 % |
| \lceil                    |        15 |  80.0 % |  80.0 % |  93.3 % | 100.0 % | 100.0 % |
| \asymp                    |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |        15 |  73.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \aa                       |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \textasciicircum          |        15 |  66.7 % |  80.0 % |  93.3 % | 100.0 % | 100.0 % |
| \leadsto                  |        15 |  66.7 % |  73.3 % |  80.0 % |  86.7 % |  86.7 % |
| |                         |        15 |  13.3 % |  13.3 % |  26.7 % |  46.7 % |  53.3 % |
| \models                   |        15 |   0.0 % |   0.0 % |  46.7 % |  66.7 % |  86.7 % |
| \nexists                  |        15 |  86.7 % |  86.7 % |  86.7 % |  86.7 % |  93.3 % |
| \upxi                     |        15 |   6.7 % |  26.7 % |  33.3 % |  46.7 % |  46.7 % |
| \rrfloor                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lnapprox                 |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lvertneqq                |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{f}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{j}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{q}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Pickup                   |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{u}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{z}              |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Mapsfrom                 |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nnwarrow                 |        15 |  20.0 % |  20.0 % |  26.7 % |  33.3 % |  46.7 % |
| \texthtt                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctd                  |        15 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Lambda                   |        14 |  14.3 % |  28.6 % |  35.7 % |  57.1 % |  71.4 % |
| \iint                     |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \AA                       |        14 |  71.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rrbracket                |        14 |  78.6 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| \uptau                    |        14 |  57.1 % |  78.6 % |  78.6 % |  78.6 % |  78.6 % |
| \triangle                 |        14 |  50.0 % |  71.4 % |  85.7 % | 100.0 % | 100.0 % |
| \vDash                    |        14 |   7.1 % |  42.9 % |  57.1 % |  92.9 % |  92.9 % |
| \textservicemark          |        14 |   7.1 % |  14.3 % |  14.3 % |  14.3 % |  21.4 % |
| \textvibyy                |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \precnsim                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nsupseteqq               |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{o}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{l}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{m}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbard                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctt                  |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \varsupsetneqq            |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \copyright                |        13 |  23.1 % |  46.2 % |  76.9 % |  76.9 % |  92.3 % |
| \ae                       |        13 |  69.2 % |  84.6 % |  92.3 % |  92.3 % | 100.0 % |
| \parallel                 |        13 |  46.2 % |  53.8 % |  76.9 % |  84.6 % |  92.3 % |
| \rangle                   |        13 |  30.8 % |  84.6 % |  84.6 % |  84.6 % |  84.6 % |
| \mathcal{M}               |        13 |  84.6 % |  84.6 % |  84.6 % |  84.6 % | 100.0 % |
| \uplambda                 |        13 |   7.7 % |  23.1 % |  38.5 % |  61.5 % |  69.2 % |
| \textscriptv              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \backsim                  |        13 |  76.9 % |  84.6 % | 100.0 % | 100.0 % | 100.0 % |
| \textcopyright            |        13 |  76.9 % |  92.3 % | 100.0 % | 100.0 % | 100.0 % |
| \o                        |        13 |  53.8 % |  69.2 % |  69.2 % |  76.9 % |  84.6 % |
| \dag                      |        13 |  15.4 % |  46.2 % |  53.8 % |  53.8 % |  61.5 % |
| \mathcal{F}               |        13 |  38.5 % |  61.5 % |  61.5 % |  69.2 % |  76.9 % |
| \cdot                     |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \venus                    |        13 |  38.5 % |  61.5 % |  69.2 % |  92.3 % |  92.3 % |
| \rtimes                   |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mid                      |        13 |   0.0 % |   7.7 % |  23.1 % |  23.1 % |  23.1 % |
| \sqsubseteq               |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrthook               |        13 |   0.0 % |   0.0 % |   7.7 % |  23.1 % |  30.8 % |
| \mathfrak{d}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{e}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{p}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{w}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textcloserevepsilon      |        13 |  46.2 % |  61.5 % |  69.2 % |  69.2 % |  69.2 % |
| \texttctclig              |        13 |  23.1 % |  30.8 % |  30.8 % |  30.8 % |  30.8 % |
| \oiint                    |        12 |  41.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \geqslant                 |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \}                        |        12 |  41.7 % |  75.0 % |  91.7 % | 100.0 % | 100.0 % |
| \rightleftharpoons        |        12 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{A}               |        12 |  66.7 % |  75.0 % |  75.0 % |  83.3 % |  83.3 % |
| \mathds{C}                |        12 |  50.0 % |  66.7 % |  91.7 % | 100.0 % | 100.0 % |
| \bigotimes                |        12 |  25.0 % |  50.0 % |  58.3 % |  58.3 % |  66.7 % |
| \clubsuit                 |        12 |  25.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \trianglelefteq           |        12 |  25.0 % |  75.0 % |  83.3 % |  83.3 % |  83.3 % |
| \textestimated            |        12 |  58.3 % |  66.7 % |  75.0 % |  83.3 % | 100.0 % |
| \mathfrak{x}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathcal{N}               |        12 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxtimes                 |        12 |  66.7 % |  66.7 % |  75.0 % |  75.0 % |  83.3 % |
| \top                      |        12 |  25.0 % |  33.3 % |  58.3 % |  75.0 % |  83.3 % |
